interval,hitsperOccupL3(KB)
0,343.0729166666667
1,316.419921875
2,inf
3,2547.4479166666665
4,129.69669117647058
5,2148.015625
6,396.35625
7,272.24857954545456
8,589.7604166666666
9,5034.875
10,518.4227941176471
11,361.6203125
12,inf
13,4072.15625
14,349.33680555555554
15,377.13988095238096
16,541.640625
17,inf
18,448.6796875
19,2461.13125
20,239.5703125
21,859.10625
22,186.21701388888889
23,700.65234375
24,169.28125
25,inf
26,212.05859375
27,182.25260416666666
28,1844.9453125
29,467.91875
30,288.7604166666667
31,170.10026041666666
32,270.2922794117647
33,1584.2375
34,297.3173076923077
35,1981.53125
36,134.78125
37,284.5390625
38,152.02302631578948
39,32.28378378378378
40,19694.1796875
41,161.77272727272728
42,4226.796875
43,227.83203125
44,661.6614583333334
45,879.09375
46,990.109375
47,2228.96875
48,338.15625
49,21.774553571428573
50,916.21875
51,825.5
52,135.725
53,50256.25
54,229.85491071428572
55,1021.4722222222222
56,478.65972222222223
57,624.8125
58,1121.6319444444443
59,inf
60,inf
61,1348.8203125
62,28.703125
63,2652.59375
64,603.8020833333334
65,324.359375
66,21.017441860465116
67,15300.104166666666
68,1459.40625
69,244.83482142857142
70,539.4548611111111
71,582.365625
72,862.940625
73,2642.65625
74,3970.6944444444443
75,6073.760416666667
76,830.9375
77,838.1901041666666
78,996.40234375
79,30.50390625
80,37.8125
81,137.828125
82,inf
83,662.0546875
84,inf
85,462.1458333333333
86,739.3333333333334
87,170.26001602564102
88,10108.359375
89,177.77644230769232
90,336.609375
91,62.49421296296296
92,300.6106770833333
93,223.5328947368421
94,445.47727272727275
95,1430.1494565217392
96,1267.125
97,603.8307291666666
98,508.45982142857144
99,129.38078703703704
100,3391.609375
101,568.4296875
102,481.5234375
103,987.40625
104,364.9140625
105,108.9375
106,310.375
107,11.574142156862745
108,1845.525
109,1184.90625
110,678.53125
111,286.2375
112,469.734375
113,277.5875
114,997.2691082802547
115,2601.1458333333335
116,233.17613636363637
117,425.01875
118,164.13020833333334
119,37.47222222222222
