interval,IPC
0,2.93338
1,2.61327
2,2.8994
3,3.25132
4,2.65437
5,2.87984
6,2.39332
7,2.07995
8,3.07525
9,2.78048
10,2.74648
11,2.66613
12,2.46497
13,2.3732900000000003
14,2.97153
15,2.6743
16,2.32013
17,2.3535
18,2.49105
19,2.43899
20,2.1448
21,2.37585
22,2.6007
23,2.5929599999999997
24,2.07859
25,2.5033
26,2.44975
27,2.37298
28,2.05806
29,2.5237
30,2.74243
31,2.33014
32,1.97017
33,2.61488
34,2.5954099999999998
35,2.28195
36,1.9493900000000002
37,2.80858
38,2.74392
39,2.27789
40,1.9122
41,2.6334400000000002
42,2.58406
43,2.24677
44,2.125
45,2.71299
46,2.4346
47,2.13658
48,1.7226099999999998
49,2.59227
50,2.23164
51,2.09222
52,2.06527
53,2.48751
54,1.9772
55,1.88382
56,1.70235
57,1.5937299999999999
58,2.48392
59,2.12502
60,2.19714
61,1.71478
62,1.86755
63,2.2393
64,2.09239
65,1.83286
66,1.68315
67,2.37352
68,2.42905
69,1.9935900000000002
70,1.79656
71,1.65268
72,2.5434900000000003
73,2.12886
74,1.9691900000000002
75,2.13349
76,2.41024
77,2.12463
78,2.32862
79,2.04168
80,2.12158
81,2.1684799999999997
82,2.5908900000000004
83,2.32746
84,1.99025
85,2.36578
86,2.51242
87,2.29374
88,1.98775
89,2.8557
90,2.73925
91,2.27631
92,2.1316
93,2.57901
94,2.56422
95,2.25162
96,2.17952
97,2.8469900000000004
98,2.58792
99,2.1461099999999997
100,2.40224
101,2.54567
102,2.3605
103,2.13184
104,2.47206
105,2.72911
106,2.30281
107,1.9994
108,2.3881200000000002
109,1.95763
110,2.04025
111,1.69065
112,1.84695
113,2.47182
114,1.8675599999999999
115,1.65222
116,1.55705
117,1.52947
118,2.38306
119,1.7992099999999998
