interval,hitsL3
0,23538.0
1,25830.0
2,57210.0
3,6273.0
4,273435.0
5,962585.0
6,430894.0
7,482230.0
8,4865.0
9,118309.0
10,1238400.0
11,696976.0
12,455689.0
13,664686.0
14,789538.0
15,708853.0
16,475492.0
17,577106.0
18,1315890.0
19,485884.0
20,428404.0
21,784015.0
22,1403730.0
23,515738.0
24,504757.0
25,792236.0
26,2844330.0
27,412705.0
28,699800.0
29,1568750.0
30,2066450.0
31,948404.0
32,558525.0
33,1276750.0
34,2524700.0
35,349372.0
36,578022.0
37,1006710.0
38,675306.0
39,482305.0
40,536056.0
41,1426580.0
42,674627.0
43,338346.0
44,668627.0
45,1122810.0
46,1582820.0
47,440577.0
48,628875.0
49,1534700.0
50,675638.0
51,386829.0
52,473013.0
53,1539070.0
54,1367500.0
55,707573.0
56,636182.0
57,627812.0
58,1105590.0
59,1047920.0
60,442128.0
61,557936.0
62,642773.0
63,1484170.0
64,646538.0
65,545193.0
66,566509.0
67,509271.0
68,1358440.0
69,454664.0
70,412332.0
71,532842.0
72,1412070.0
73,633684.0
74,397039.0
75,425624.0
76,2935210.0
77,2345320.0
78,493375.0
79,353303.0
80,590708.0
81,3616010.0
82,2236030.0
83,380457.0
84,686102.0
85,2333270.0
86,2608560.0
87,384182.0
88,588350.0
89,856013.0
90,672774.0
91,411516.0
92,607139.0
93,1020600.0
94,592065.0
95,423824.0
96,614936.0
97,917766.0
98,524833.0
99,480983.0
100,546280.0
101,1260220.0
102,1498000.0
103,721723.0
104,557656.0
105,1222880.0
106,1214580.0
107,441523.0
108,1712330.0
109,5254300.0
110,484574.0
111,1253730.0
112,599495.0
113,1143370.0
114,354922.0
115,418687.0
116,505196.0
117,571916.0
118,760595.0
119,4021630.0
