interval,hitsL3
0,871783.0
1,963930.0
2,106882.0
3,920190.0
4,859346.0
5,299089.0
6,99511.0
7,496373.0
8,820260.0
9,901150.0
10,813503.0
11,48987.0
12,78429.0
13,182147.0
14,157509.0
15,271151.0
16,717926.0
17,67609.0
18,41062.0
19,86633.0
20,486275.0
21,624737.0
22,872658.0
23,812145.0
24,1514410.0
25,394216.0
26,271974.0
27,384142.0
28,880729.0
29,945879.0
30,1065270.0
31,1001310.0
32,197359.0
33,836191.0
34,956749.0
35,176965.0
36,136153.0
37,234411.0
38,429609.0
39,117427.0
40,607848.0
41,585471.0
42,547315.0
43,441547.0
44,481936.0
45,408046.0
46,397844.0
47,1330520.0
48,286382.0
49,330808.0
50,512798.0
51,386045.0
52,493983.0
53,568009.0
54,673008.0
55,571713.0
56,700203.0
57,525147.0
58,489270.0
59,668619.0
60,798001.0
61,769121.0
62,632401.0
63,1452140.0
64,1099620.0
65,1005170.0
66,796505.0
67,1192540.0
68,1348900.0
69,1024280.0
70,920242.0
71,961782.0
72,549295.0
73,940959.0
74,1330740.0
75,959139.0
76,1155050.0
77,764418.0
78,859456.0
79,145060.0
80,35251.0
81,93802.0
82,70572.0
83,129373.0
84,576021.0
85,143005.0
86,447286.0
87,1358030.0
88,499074.0
89,925520.0
90,708827.0
91,1081590.0
92,206884.0
93,1332340.0
94,635322.0
95,1283900.0
96,771886.0
97,1249080.0
98,519944.0
99,837531.0
100,678303.0
101,938855.0
102,1132360.0
103,1410960.0
104,1296770.0
105,1135020.0
106,352685.0
107,1170400.0
108,1149650.0
109,1271720.0
110,1191850.0
111,1435790.0
112,1486330.0
