interval,hitsL3
0,87733.0
1,10054.0
2,525802.0
3,133835.0
4,117622.0
5,94720.0
6,710958.0
7,261374.0
8,213978.0
9,245685.0
10,220686.0
11,230967.0
12,203041.0
13,752100.0
14,221513.0
15,208430.0
16,144984.0
17,185542.0
18,764032.0
19,241469.0
20,262999.0
21,218900.0
22,251406.0
23,294604.0
24,178772.0
25,657397.0
26,9023.0
27,11102.0
28,574240.0
29,197065.0
30,223943.0
31,214000.0
32,200669.0
33,179549.0
34,197545.0
35,246125.0
36,264332.0
37,859202.0
38,269532.0
39,172889.0
40,166198.0
41,223901.0
42,249567.0
43,176281.0
44,195117.0
45,661933.0
46,234453.0
47,235400.0
48,232001.0
49,277731.0
50,285294.0
51,313654.0
52,322156.0
53,243712.0
54,288316.0
55,822687.0
56,223258.0
57,243754.0
58,313330.0
59,316268.0
60,224372.0
61,207753.0
62,265923.0
63,262674.0
64,633402.0
65,228221.0
66,267615.0
67,255892.0
68,297906.0
69,255299.0
70,309896.0
71,259559.0
72,247677.0
73,318950.0
74,783516.0
75,10378.0
76,10018.0
77,606796.0
78,260975.0
79,275723.0
80,234519.0
81,339497.0
82,286956.0
83,238915.0
84,235304.0
85,266498.0
86,263860.0
87,712597.0
88,251191.0
89,304204.0
90,281109.0
91,257108.0
92,246066.0
93,261083.0
94,263277.0
95,271542.0
96,594955.0
97,279898.0
98,273804.0
99,286308.0
100,290426.0
101,306168.0
102,355704.0
103,332497.0
104,253913.0
105,260853.0
106,670854.0
107,233805.0
108,292049.0
109,308233.0
110,310489.0
111,232499.0
112,220951.0
113,291834.0
114,305959.0
115,622149.0
