interval,hitsL3
0,58709.0
1,70189.0
2,66586.0
3,72883.0
4,61256.0
5,121178.0
6,84327.0
7,146661.0
8,163186.0
9,105503.0
10,49536.0
11,131331.0
12,200961.0
13,172423.0
14,173534.0
15,222894.0
16,217438.0
17,101108.0
18,80702.0
19,112717.0
20,231281.0
21,197435.0
22,271423.0
23,293661.0
24,244580.0
25,239539.0
26,237642.0
27,205606.0
28,212674.0
29,182581.0
30,93374.0
31,114586.0
32,90586.0
33,77991.0
34,67831.0
35,280201.0
36,231167.0
37,210692.0
38,316479.0
39,344690.0
40,260814.0
41,290680.0
42,233853.0
43,268272.0
44,221428.0
45,230522.0
46,228625.0
47,254428.0
48,241843.0
49,1023190.0
50,129959.0
51,172988.0
52,166240.0
53,249219.0
54,237994.0
55,264687.0
56,159242.0
57,112443.0
58,123799.0
59,154392.0
60,260868.0
61,284024.0
62,282150.0
63,279395.0
64,264402.0
65,255138.0
66,210301.0
67,221060.0
68,220437.0
69,97679.0
70,30123.0
71,81616.0
72,69073.0
73,57388.0
74,19103.0
75,41827.0
76,49537.0
77,37300.0
78,63100.0
79,64639.0
80,83796.0
81,82379.0
82,111260.0
83,119824.0
84,84829.0
85,99071.0
86,126339.0
87,122003.0
88,105642.0
89,107467.0
90,130995.0
91,101830.0
92,57808.0
93,60085.0
94,136338.0
95,140813.0
96,118426.0
97,80004.0
98,114879.0
99,70889.0
100,19334.0
101,41119.0
102,44361.0
103,1880.0
104,49364.0
105,41221.0
106,33590.0
107,27358.0
108,7655.0
109,29058.0
110,32021.0
111,2131.0
