interval,IPC
0,0.7918350000000001
1,1.26005
2,1.96901
3,2.59043
4,0.934215
5,1.7536
6,2.31486
7,1.62238
8,1.15094
9,2.11958
10,2.1902
11,2.3199
12,0.977958
13,1.6493900000000001
14,2.2586
15,2.2193400000000003
16,1.71923
17,1.11179
18,1.8693099999999998
19,2.22582
20,1.98917
21,2.34742
22,1.11414
23,1.31177
24,2.12447
25,2.38984
26,1.9948599999999999
27,2.3468
28,1.70363
29,1.03399
30,1.7725
31,2.18197
32,2.2105900000000003
33,2.31327
34,2.2043
35,1.09086
36,1.4584700000000002
37,2.27278
38,2.02707
39,2.4191599999999998
40,2.44068
41,2.1176
42,0.999765
43,1.7584400000000002
44,2.27303
45,2.33135
46,2.2949599999999997
47,2.45238
48,2.15869
49,1.01058
50,1.72282
51,2.33927
52,2.2915900000000002
53,2.31209
54,2.33819
55,2.36481
56,1.95806
57,1.0716
58,1.84695
59,2.22428
60,2.16152
61,2.0703099999999997
62,2.20635
63,2.16989
64,2.2965299999999997
65,1.38372
66,1.14174
67,1.9407900000000002
68,2.1617900000000003
69,2.16795
70,2.13075
71,2.2215
72,2.2688200000000003
73,2.31345
74,1.6285399999999999
75,1.04087
76,1.6489900000000002
77,2.1934299999999998
78,2.11429
79,2.18253
80,2.25068
81,2.33923
82,2.13265
83,2.14247
84,1.3059
85,1.14215
86,1.8875400000000002
87,2.1319999999999997
88,2.15351
89,2.27346
90,2.25021
91,2.10221
92,2.1265
93,2.08882
94,2.16026
95,0.998035
96,1.32245
97,2.13489
98,2.31911
99,2.15492
100,2.1703
101,2.09681
102,2.17293
103,2.0996200000000003
104,2.17006
105,2.12474
106,1.86686
107,1.03105
108,1.6663700000000001
109,2.09103
110,2.16494
111,2.10937
112,2.13152
113,2.10593
