interval,hitsL3
0,51998.0
1,157343.0
2,1105850.0
3,3725490.0
4,47074.0
5,1095000.0
6,1872190.0
7,332235.0
8,276565.0
9,1836140.0
10,1872230.0
11,1286920.0
12,42845.0
13,843998.0
14,1431290.0
15,1450320.0
16,23520.0
17,600165.0
18,1869680.0
19,4808680.0
20,4719020.0
21,3538560.0
22,461484.0
23,4247860.0
24,6023500.0
25,1637280.0
26,1912780.0
27,1645740.0
28,34101.0
29,683766.0
30,5515360.0
31,6357420.0
32,6104280.0
33,1590270.0
34,2690550.0
35,801573.0
36,1591200.0
37,1894980.0
38,1954220.0
39,1919880.0
40,1863830.0
41,143359.0
42,377777.0
43,1852060.0
44,1899480.0
45,2612500.0
46,1883510.0
47,1989340.0
48,440075.0
49,85872.0
50,1683030.0
51,4314690.0
52,2381760.0
53,3196130.0
54,1911490.0
55,6256900.0
56,799324.0
57,58820.0
58,1380180.0
59,1981130.0
60,1897110.0
61,6093740.0
62,2760860.0
63,5571690.0
64,1823650.0
65,217405.0
66,309348.0
67,1812320.0
68,4100380.0
69,4621020.0
70,4553390.0
71,4605480.0
72,3502170.0
73,4443730.0
74,2083960.0
75,90698.0
76,1734700.0
77,1906390.0
78,1919580.0
79,4530530.0
80,4810940.0
81,6335280.0
82,5091680.0
83,5837450.0
84,267390.0
85,2016770.0
86,6520580.0
87,6457680.0
88,6513780.0
89,6453810.0
90,5064570.0
91,6265910.0
92,6315740.0
93,6530260.0
94,6397550.0
95,1008020.0
96,771146.0
97,6144350.0
98,4906150.0
99,6106000.0
100,6229960.0
101,6350340.0
102,6198040.0
103,6395550.0
104,1902500.0
105,6391340.0
106,4823100.0
107,643475.0
108,943744.0
109,5950370.0
110,6123200.0
111,4344460.0
112,4218500.0
113,6241190.0
