interval,hitsL3
0,1919940.0
1,1173120.0
2,577277.0
3,497191.0
4,700686.0
5,767689.0
6,701351.0
7,581677.0
8,481494.0
9,827933.0
10,794504.0
11,623952.0
12,654250.0
13,357689.0
14,459257.0
15,431160.0
16,696463.0
17,437634.0
18,600351.0
19,504250.0
20,425433.0
21,567152.0
22,442435.0
23,530698.0
24,398944.0
25,366588.0
26,441097.0
27,301145.0
28,578332.0
29,555428.0
30,420055.0
31,590558.0
32,426180.0
33,336993.0
34,533905.0
35,403237.0
36,303369.0
37,305606.0
38,354213.0
39,252474.0
40,598897.0
41,451987.0
42,434591.0
43,557438.0
44,346230.0
45,368651.0
46,367575.0
47,361640.0
48,352203.0
49,295968.0
50,12249.0
51,13227.0
52,17231.0
53,16318.0
54,22322.0
55,8362.0
56,14009.0
57,26266.0
58,23014.0
59,9227.0
60,12183.0
61,20405.0
62,32305.0
63,7666.0
64,32483.0
65,10841.0
66,16085.0
67,23506.0
68,11097.0
69,8186.0
70,10843.0
71,1040470.0
72,525252.0
73,488080.0
74,595246.0
75,728145.0
76,696706.0
77,635140.0
78,429370.0
79,632080.0
80,823901.0
81,698707.0
82,643929.0
83,438202.0
84,366508.0
85,367784.0
86,544071.0
87,497901.0
88,492582.0
89,527590.0
90,459650.0
91,419391.0
92,569047.0
93,433132.0
94,439182.0
95,421900.0
96,351649.0
97,437691.0
98,265996.0
99,744956.0
100,409846.0
101,461117.0
102,532467.0
103,321651.0
104,402718.0
105,481921.0
106,357199.0
107,350827.0
108,361748.0
109,289856.0
110,353593.0
111,495392.0
112,399902.0
113,477956.0
114,512099.0
115,402047.0
