interval,hitsperOccupL3(KB)
0,1064.8660714285713
1,10.66232638888889
2,8.642857142857142
3,24.251644736842106
4,8.3625
5,23.622767857142858
6,11.84672619047619
7,13.241071428571429
8,22.067708333333332
9,10.085227272727273
10,19.639423076923077
11,13.553308823529411
12,19.260416666666668
13,16.435661764705884
14,9.21125
15,10.548913043478262
16,9.46412037037037
17,12.105263157894736
18,7.203125
19,6.53125
20,14.45
21,12.91015625
22,41.94375
23,21.229166666666668
24,6.64527027027027
25,16.209134615384617
26,14.61328125
27,11.610197368421053
28,17.390625
29,13.424632352941176
30,12.34548611111111
31,33.24107142857143
32,22.1640625
33,11.649147727272727
34,10771.310763888889
35,17354.106104651164
36,15016.761363636364
37,14857.957474226803
38,18821.739130434784
39,16661.801470588234
40,17220.566860465115
41,25693.07753164557
42,24548.011363636364
43,19226.585144927536
44,14174.089805825242
45,16153.047839506173
46,20886.07536764706
47,21845.030737704918
48,14205.199353448275
49,24015.75
50,16087.589285714286
51,13291.007653061224
52,15399.484536082475
53,19601.325757575756
54,19571.104452054795
55,16814.79430379747
56,23419.021739130436
57,15941.118421052632
58,22887.905844155845
59,14297.406914893618
60,14518.75
61,16393.051470588234
62,12825.359513274336
63,17402.421875
64,16857.412790697676
65,19543.033854166668
66,22222.261235955055
67,15763.061797752809
68,15856.736111111111
69,21476.43849206349
70,13791.565533980582
71,18516.24177631579
72,13582.79702970297
73,17099.697580645163
74,23636.170977011494
75,16967.283163265307
76,15054.236111111111
77,18133.95061728395
78,17609.17467948718
79,16670.67819148936
80,15646.453651685393
81,21367.3046875
82,27611.126893939392
83,21716.55844155844
84,22959.934701492537
85,19922.315140845072
86,11854.36970338983
87,14261.4898989899
88,18092.416666666668
89,19031.666666666668
90,21668.75
91,22133.741554054053
92,17730.00753012048
93,16231.843354430379
94,21120.0
95,14881.797680412372
96,14801.021634615385
97,19891.51785714286
98,27588.31730769231
99,31250.05896226415
100,19666.981907894737
101,17440.17269736842
102,27142.766203703704
103,14550.10775862069
104,23274.603174603173
105,16789.925986842107
106,24704.595588235294
107,24455.92948717949
108,23996.009615384617
109,13963.944892473119
110,15800.625
111,14915.550595238095
112,20912.5
113,15109.66911764706
114,18891.83823529412
115,17816.076030927834
116,16775.911458333332
117,17462.0
118,16987.281976744187
119,11699.180327868853
120,18204.359567901236
121,15381.031976744185
122,15754.488031914894
123,12682.979166666666
124,16694.205729166668
125,21744.325657894737
126,17884.149096385543
127,16364.236111111111
128,13696.013779527559
129,18429.593373493975
130,13907.077205882353
131,19860.495923913044
132,10757.083333333334
133,20041.504854368934
134,19337.955729166668
135,19151.54411764706
136,21649.922839506173
137,11923.849826388889
138,21263.80912162162
139,15840.361445783132
140,14510.232843137255
141,17901.77951388889
142,20324.339788732395
143,12941.89453125
144,15593.035714285714
