interval,hitsL3
0,7114.0
1,4174.0
2,4374.0
3,3984.0
4,4729.0
5,5109.0
6,5694.0
7,3561.0
8,3946.0
9,3921.0
10,4262.0
11,3804.0
12,5733.0
13,5320.0
14,3502.0
15,20518.0
16,3768.0
17,3639.0
18,742803.0
19,653179.0
20,766753.0
21,805715.0
22,765371.0
23,791936.0
24,541200.0
25,836609.0
26,906322.0
27,778310.0
28,678056.0
29,613900.0
30,559806.0
31,783471.0
32,634464.0
33,869370.0
34,747976.0
35,840692.0
36,436477.0
37,751792.0
38,589289.0
39,544692.0
40,549726.0
41,577386.0
42,864750.0
43,959307.0
44,585857.0
45,524794.0
46,529898.0
47,626953.0
48,678943.0
49,497756.0
50,547438.0
51,819460.0
52,976575.0
53,569381.0
54,580056.0
55,460664.0
56,698531.0
57,464943.0
58,630246.0
59,493683.0
60,744518.0
61,790351.0
62,666971.0
63,500957.0
64,625846.0
65,418907.0
66,662281.0
67,563144.0
68,681008.0
69,674479.0
70,777471.0
71,419427.0
72,57172.0
73,46277.0
74,51343.0
75,44533.0
76,52374.0
77,56685.0
78,1466330.0
79,16668400.0
80,18281100.0
81,19187900.0
82,19363400.0
83,19745800.0
84,19962700.0
85,20357500.0
86,21125600.0
87,21260400.0
88,20932700.0
89,21483300.0
90,21628200.0
91,22440400.0
92,23197500.0
93,22332600.0
94,12456200.0
95,129368.0
96,102944.0
97,509184.0
98,629206.0
99,712041.0
100,766267.0
101,703239.0
102,683752.0
103,597814.0
104,712971.0
105,1010440.0
106,582972.0
107,547705.0
108,479134.0
109,518701.0
110,644028.0
111,573207.0
112,700435.0
113,630450.0
114,810133.0
115,552175.0
116,648908.0
117,523009.0
118,540472.0
119,350032.0
120,557493.0
121,561828.0
122,793298.0
123,736637.0
124,510144.0
125,560283.0
126,559936.0
127,523378.0
128,510035.0
129,495163.0
130,654055.0
131,876974.0
132,616275.0
133,533566.0
134,514887.0
135,525216.0
136,736668.0
137,470389.0
138,391073.0
139,789227.0
140,1162000.0
141,1023750.0
142,1117530.0
143,1019420.0
144,788268.0
145,598027.0
146,791974.0
147,556163.0
148,53775.0
149,63310.0
150,60258.0
151,50684.0
152,52062.0
153,54011.0
154,692411.0
155,1103460.0
156,1126690.0
157,1255590.0
158,900616.0
159,882150.0
160,599906.0
161,654171.0
162,688680.0
163,639318.0
164,619443.0
165,528754.0
166,714395.0
167,861988.0
168,973218.0
169,562542.0
170,528048.0
171,587160.0
172,664198.0
173,471131.0
174,551150.0
175,407852.0
176,833778.0
177,887194.0
178,469391.0
179,509003.0
180,483889.0
181,604610.0
182,535485.0
183,525860.0
184,481859.0
185,744726.0
186,738993.0
