interval,IPC
0,2.8712299999999997
1,2.2396
2,2.31948
3,2.6145
4,2.07165
5,2.06657
6,1.6941599999999999
7,1.6326
8,1.66378
9,1.9869700000000001
10,1.8203
11,1.51396
12,1.7704
13,2.1771
14,2.05375
15,2.13802
16,1.83873
17,2.0448
18,1.8601400000000001
19,1.51032
20,1.5306799999999998
21,1.80267
22,1.64756
23,1.84024
24,1.53467
25,1.9889
26,1.81197
27,1.7166299999999999
28,1.6726900000000002
29,1.6976099999999998
30,1.54992
31,1.7876400000000001
32,1.68229
33,1.9108
34,1.8077900000000002
35,1.8814099999999998
36,1.66619
37,1.83497
38,1.6621299999999999
39,1.7007299999999999
40,1.59402
41,1.7105
42,1.8605200000000002
43,2.02747
44,1.62713
45,1.6495400000000002
46,1.4960799999999999
47,1.61716
48,1.8397700000000001
49,1.524
50,1.70518
51,1.8764599999999998
52,2.1286400000000003
53,1.63514
54,1.72355
55,1.54178
56,1.83995
57,1.6813799999999999
58,1.7584
59,1.60571
60,1.9774599999999998
61,1.90325
62,1.8315299999999999
63,1.64705
64,1.76768
65,1.60513
66,1.8169400000000002
67,1.69882
68,1.8269400000000002
69,1.7994700000000001
70,2.0067
71,1.70061
72,1.8547900000000002
73,1.64815
74,1.77572
75,1.58928
76,1.78699
77,1.6482700000000001
78,1.91871
79,1.9655900000000002
80,1.79492
81,1.7322099999999998
82,1.66176
83,1.57387
84,1.57585
85,1.7278200000000001
86,1.71402
87,1.99122
88,1.62296
89,1.75985
90,1.69685
91,1.9061400000000002
92,1.70433
93,1.73848
94,1.53722
95,1.9343
96,1.85538
97,1.8130700000000002
98,1.55523
99,1.6785900000000002
100,1.6663700000000001
101,1.84277
102,1.6501400000000002
103,1.59911
104,1.7421
105,2.03001
106,1.52922
107,1.6029799999999998
108,1.65162
109,1.55768
110,1.79827
111,1.65228
112,1.86077
113,1.7586400000000002
114,1.97255
115,1.63395
116,1.7949700000000002
117,1.59696
118,1.6933
119,1.55231
120,1.75315
121,1.6231799999999998
122,1.9973900000000002
123,1.6993900000000002
124,1.64045
125,1.73777
126,1.6744700000000001
127,1.73069
128,1.58899
129,1.71957
130,1.73892
131,2.1058
132,1.6723700000000001
133,1.7615
134,1.61592
