interval,hitsL3
0,7001.0
1,5127.0
2,42457.0
3,66091.0
4,91316.0
5,213673.0
6,1805330.0
7,1692630.0
8,2526290.0
9,1867320.0
10,2657950.0
11,2611620.0
12,2444180.0
13,90739.0
14,154082.0
15,17662.0
16,4301.0
17,1250000.0
18,141430.0
19,699657.0
20,2453590.0
21,1829390.0
22,2408830.0
23,2590520.0
24,2873210.0
25,2604180.0
26,1507730.0
27,509793.0
28,129157.0
29,1015830.0
30,2382600.0
31,1774100.0
32,2690250.0
33,2534040.0
34,2855260.0
35,1558310.0
36,657502.0
37,193814.0
38,2435520.0
39,1061640.0
40,2327960.0
41,2682720.0
42,2710250.0
43,2777980.0
44,2350530.0
45,82736.0
46,111130.0
47,1214240.0
48,1977790.0
49,1602060.0
50,1864320.0
51,2925400.0
52,2411280.0
53,2027120.0
54,1114060.0
55,169307.0
56,1260600.0
57,1237760.0
58,1370370.0
59,2323370.0
60,2863210.0
61,2966540.0
62,3071160.0
63,155591.0
64,110745.0
65,544063.0
66,1060120.0
67,1065360.0
68,1758440.0
69,2899640.0
70,2749330.0
71,2441920.0
72,80576.0
73,131524.0
74,871151.0
75,1216340.0
76,1548470.0
77,2512050.0
78,2633640.0
79,2853710.0
80,1393630.0
81,315053.0
82,132448.0
83,1212250.0
84,1677880.0
85,1206430.0
86,2591450.0
87,2872720.0
88,2895720.0
89,1341850.0
90,668044.0
91,140070.0
92,937549.0
93,949581.0
94,1502460.0
95,1787860.0
96,2739960.0
97,2838640.0
98,2479230.0
99,286649.0
100,178728.0
101,178605.0
102,1370570.0
103,1011850.0
104,1321200.0
105,2438860.0
106,2645780.0
107,2668930.0
108,2376320.0
109,1051630.0
110,145539.0
111,108493.0
112,1338020.0
113,1290300.0
114,1282440.0
115,2181320.0
116,2581810.0
117,2715650.0
118,2636830.0
119,721495.0
120,154960.0
121,88669.0
122,728264.0
123,960724.0
124,1217450.0
125,1614850.0
126,2683190.0
127,2755840.0
128,2724280.0
129,1222250.0
130,267468.0
131,87916.0
132,497663.0
133,1144240.0
134,981759.0
135,1000350.0
136,2765710.0
137,2722370.0
138,3075270.0
139,1531470.0
140,73205.0
141,144032.0
142,1099100.0
143,916291.0
144,950105.0
145,2537750.0
146,3044750.0
147,2536790.0
148,2332920.0
