interval,hitsL3
0,14656.0
1,17232.0
2,472927.0
3,6653.0
4,145143.0
5,955623.0
6,609501.0
7,317382.0
8,388302.0
9,621768.0
10,7590.0
11,1043180.0
12,1214730.0
13,457759.0
14,1803000.0
15,561199.0
16,1466780.0
17,512036.0
18,328360.0
19,536705.0
20,1672050.0
21,638811.0
22,1860340.0
23,325764.0
24,480264.0
25,1303550.0
26,650464.0
27,293392.0
28,354989.0
29,589145.0
30,1628540.0
31,3429880.0
32,1571200.0
33,1512340.0
34,5115600.0
35,3836690.0
36,4519930.0
37,323130.0
38,309678.0
39,503389.0
40,1677000.0
41,640550.0
42,373347.0
43,395801.0
44,4205440.0
45,1602420.0
46,3716630.0
47,266359.0
48,341066.0
49,588776.0
50,1407130.0
51,633271.0
52,1440060.0
53,393129.0
54,612503.0
55,1596590.0
56,601458.0
57,274680.0
58,529828.0
59,1129910.0
60,8888550.0
61,539369.0
62,1525670.0
63,1724120.0
64,2423470.0
65,7603060.0
66,2123940.0
67,628994.0
68,1042200.0
69,2863490.0
70,5485410.0
71,1275400.0
72,878071.0
73,719450.0
74,1695460.0
75,4066360.0
76,835368.0
77,1255740.0
78,917480.0
79,2040170.0
80,6676540.0
81,701880.0
82,1071590.0
83,2482490.0
84,1055820.0
85,1263390.0
86,459026.0
87,378836.0
88,630069.0
89,4406960.0
90,3431100.0
91,1174020.0
92,322093.0
93,597708.0
94,1446050.0
95,2265250.0
96,294368.0
97,399021.0
98,625960.0
99,1572360.0
100,571527.0
101,1049210.0
102,953851.0
103,3477660.0
104,3127460.0
105,2312860.0
106,770294.0
107,1224030.0
108,627341.0
109,5271080.0
110,607022.0
111,266396.0
112,347018.0
113,608407.0
114,1217720.0
115,465554.0
116,871872.0
117,1206290.0
118,586363.0
119,1585120.0
120,611493.0
121,919846.0
122,838470.0
123,1271600.0
124,922017.0
125,1779120.0
126,281081.0
127,358118.0
128,940459.0
129,1258080.0
130,448377.0
131,358335.0
132,616914.0
133,2806210.0
134,624090.0
135,294282.0
136,376985.0
137,618673.0
138,3140010.0
