interval,hitsL3
0,23615600.0
1,9499160.0
2,9418020.0
3,1347580.0
4,1118290.0
5,2911300.0
6,1602370.0
7,2006180.0
8,2184650.0
9,2506350.0
10,2951190.0
11,2671740.0
12,2683240.0
13,3143220.0
14,3735740.0
15,3548120.0
16,4160680.0
17,4767860.0
18,4147420.0
19,5190040.0
20,4599390.0
21,6192980.0
22,5482980.0
23,6989500.0
24,7938450.0
25,8011990.0
26,7348510.0
27,9388740.0
28,9208990.0
29,7958370.0
30,9145320.0
31,11674200.0
32,11199100.0
33,12952500.0
34,12980800.0
35,12142200.0
36,11476700.0
37,11005400.0
38,10882100.0
39,10115600.0
40,9831760.0
41,11459000.0
42,10364500.0
43,8596090.0
44,9546610.0
45,9767030.0
46,10056500.0
47,9636310.0
48,8841210.0
49,9821570.0
50,10388700.0
51,8613380.0
52,8449420.0
53,8395370.0
54,9084060.0
55,9340370.0
56,11048700.0
57,10357000.0
58,10597500.0
59,9923140.0
60,11933800.0
61,10772800.0
62,9913440.0
63,8219420.0
64,7377900.0
65,6940680.0
66,5679220.0
67,7142120.0
68,6534700.0
69,6991840.0
70,6926040.0
71,8292950.0
72,8597800.0
73,10215000.0
74,7931980.0
75,7748840.0
76,6998480.0
77,6848290.0
78,6432190.0
79,6206140.0
80,5751650.0
81,5856830.0
82,6473690.0
83,5317370.0
84,4372110.0
85,5741730.0
86,6655210.0
87,4938730.0
88,4902630.0
89,5547470.0
90,8067020.0
91,7533180.0
92,8551990.0
93,9493250.0
94,10383500.0
95,8927170.0
96,8157840.0
97,9967600.0
98,9121700.0
99,9684600.0
100,9264430.0
101,7727430.0
102,7035260.0
103,6639220.0
104,7852590.0
105,7065950.0
106,8458600.0
107,6756820.0
108,6150010.0
109,6700980.0
110,7727290.0
111,7299340.0
112,7618150.0
113,8731130.0
114,8220720.0
115,6932510.0
116,7579140.0
117,7012860.0
118,7944200.0
119,8171110.0
120,8331800.0
121,7264670.0
122,6881930.0
123,7141260.0
124,7615140.0
125,6310200.0
126,6988010.0
127,7072590.0
128,6514270.0
129,7896380.0
130,8849560.0
131,7119220.0
132,7562050.0
133,8200540.0
134,8189580.0
135,9023020.0
136,8516060.0
137,8886570.0
138,8792840.0
139,7409030.0
140,8001090.0
141,8324040.0
142,8533760.0
143,9353950.0
144,8104620.0
145,8610340.0
