interval,hitsL3
0,23314600.0
1,9785770.0
2,9132340.0
3,1463570.0
4,1472640.0
5,3185400.0
6,1539070.0
7,1911490.0
8,2138570.0
9,2556930.0
10,3093660.0
11,2684890.0
12,2564910.0
13,3089280.0
14,3269510.0
15,3411220.0
16,3309440.0
17,4177930.0
18,3375730.0
19,4740020.0
20,2899740.0
21,5658020.0
22,4062160.0
23,3989860.0
24,5665940.0
25,4545170.0
26,4600020.0
27,4102810.0
28,5400290.0
29,4691230.0
30,5241540.0
31,4195360.0
32,4370450.0
33,7413960.0
34,5663880.0
35,6280880.0
36,6450950.0
37,7163380.0
38,8630910.0
39,5396810.0
40,4213420.0
41,5706100.0
42,4657570.0
43,4067790.0
44,4542030.0
45,3457150.0
46,5188880.0
47,4392650.0
48,2618950.0
49,3484840.0
50,4433580.0
51,5260570.0
52,4013320.0
53,4315890.0
54,4024570.0
55,5950720.0
56,4091800.0
57,4085830.0
58,4886320.0
59,4541280.0
60,4954990.0
61,3952390.0
62,3379420.0
63,3850990.0
64,3775070.0
65,3247900.0
66,3587020.0
67,4165110.0
68,3034220.0
69,4224500.0
70,3948260.0
71,3831750.0
72,4387720.0
73,3728830.0
74,4564340.0
75,3145930.0
76,4648920.0
77,5513290.0
78,4109540.0
79,2688780.0
80,5147650.0
81,4442190.0
82,2974870.0
83,4121660.0
84,3467070.0
85,4750070.0
86,3479480.0
87,3576010.0
88,4265260.0
89,4869220.0
90,3440360.0
91,4004070.0
92,4318450.0
93,3739010.0
94,4887460.0
95,3024070.0
96,3501050.0
97,3729820.0
98,3617670.0
99,3257550.0
100,3799370.0
101,3663230.0
102,4346620.0
103,4511350.0
104,3843040.0
105,4287990.0
106,3934850.0
107,3569940.0
108,3699510.0
109,3213540.0
110,3907370.0
111,3930340.0
112,2948160.0
113,2718240.0
114,4032400.0
115,4468470.0
116,4182620.0
117,3969240.0
118,4866400.0
119,6709030.0
120,4173430.0
121,4762840.0
122,5490810.0
123,6190000.0
124,7328910.0
125,4290370.0
126,5867060.0
127,5452720.0
128,3307110.0
129,4568110.0
130,4417570.0
131,4181860.0
132,4819440.0
133,3716860.0
134,3846160.0
135,3633400.0
136,3182560.0
137,2982500.0
138,3319940.0
139,2987260.0
140,3638020.0
141,3556170.0
142,2995420.0
143,3901510.0
144,3336790.0
145,4335920.0
146,3201010.0
147,2889900.0
148,3911360.0
149,4649560.0
150,3369170.0
151,4119300.0
152,4184940.0
153,3327180.0
154,3896870.0
155,3106360.0
156,3863470.0
157,4972400.0
158,3584250.0
159,3762550.0
160,3707250.0
161,4486790.0
162,3848930.0
163,3882360.0
164,3183850.0
165,4927700.0
166,4314420.0
167,3852490.0
168,4582370.0
169,4306860.0
170,3929440.0
171,3444180.0
172,4559630.0
173,4370670.0
174,5589300.0
175,4618250.0
176,3894770.0
177,3767150.0
178,3747900.0
179,4450450.0
180,3381200.0
181,3477290.0
182,4281100.0
183,4083350.0
184,3384230.0
185,3748680.0
186,4444100.0
187,4017530.0
