interval,IPC
0,1.92632
1,2.36115
2,2.79263
3,2.42774
4,2.06177
5,2.35681
6,2.21429
7,2.00248
8,2.05856
9,2.2429099999999997
10,2.26998
11,1.98311
12,2.1217200000000003
13,2.3448700000000002
14,1.87294
15,1.7803900000000001
16,2.28627
17,2.20991
18,1.93251
19,1.9079599999999999
20,2.0455799999999997
21,2.19355
22,2.24723
23,1.8238299999999998
24,2.19599
25,1.91202
26,2.30801
27,1.96871
28,2.09228
29,1.8534400000000002
30,2.26173
31,2.14436
32,2.0708599999999997
33,2.1473299999999997
34,2.1825900000000003
35,2.38835
36,2.2722
37,1.89157
38,2.30334
39,2.13167
40,2.193
41,2.00904
42,2.32314
43,2.08596
44,2.01173
45,1.6218
46,2.35228
47,2.5992
48,1.6856900000000001
49,2.01142
50,2.47085
51,2.07032
52,1.93859
53,2.15992
54,2.21297
55,2.2669900000000003
56,2.13097
57,2.17001
58,2.42591
59,1.94975
60,2.25697
61,2.09984
62,1.9998799999999999
63,2.19148
64,2.14398
65,2.14491
66,2.16941
67,2.21122
68,2.04333
69,2.51874
70,2.39222
71,2.15372
72,2.51314
73,2.3884
74,2.09896
75,1.8763
76,2.36658
77,2.54987
78,1.9436
79,1.65979
80,2.52312
81,2.33644
82,1.79187
83,1.91288
84,2.0144900000000003
85,1.9352200000000002
86,1.86412
87,2.06871
88,2.35691
89,2.13183
90,2.14659
91,2.0455099999999997
92,2.02376
93,1.7710400000000002
94,2.23545
95,2.13009
96,2.2113
97,2.03461
98,2.3152
99,1.95702
100,2.3477799999999998
101,1.99843
102,2.39895
103,2.48047
104,1.9240099999999998
105,1.93944
106,2.3832
107,2.12622
108,2.00947
109,1.9670599999999998
110,2.2151400000000003
111,2.4588799999999997
112,2.15673
113,1.84597
114,2.23444
115,2.2372900000000002
116,2.23042
117,1.7188
118,2.15117
119,2.28927
120,2.0382
121,1.9286
122,2.27045
123,2.63022
124,2.24375
125,2.17079
126,2.623
127,2.49212
128,1.80673
129,2.10105
130,2.18553
131,2.05763
132,2.2846
133,1.9872
134,2.50707
135,2.27834
136,2.17392
137,2.09275
138,2.42781
139,1.84095
140,2.3115200000000002
141,2.43935
142,2.1158200000000003
143,2.03233
144,2.1678
145,2.6175900000000003
146,2.0607599999999997
147,1.8513700000000002
148,2.41724
