interval,hitsL3
0,798039.0
1,822585.0
2,93638.0
3,887809.0
4,813813.0
5,216458.0
6,135626.0
7,350824.0
8,524306.0
9,748214.0
10,975310.0
11,121300.0
12,69526.0
13,133362.0
14,131048.0
15,110675.0
16,400779.0
17,302771.0
18,35489.0
19,51021.0
20,100142.0
21,312121.0
22,906677.0
23,371486.0
24,519532.0
25,1226180.0
26,283487.0
27,142560.0
28,150837.0
29,445911.0
30,555266.0
31,663966.0
32,562334.0
33,374394.0
34,224502.0
35,506185.0
36,474593.0
37,61012.0
38,102928.0
39,148343.0
40,245812.0
41,49637.0
42,360382.0
43,379436.0
44,248865.0
45,273649.0
46,56857.0
47,497314.0
48,47912.0
49,724953.0
50,470492.0
51,201201.0
52,136006.0
53,241997.0
54,124322.0
55,206218.0
56,247631.0
57,253797.0
58,291408.0
59,285213.0
60,409345.0
61,200140.0
62,250461.0
63,296140.0
64,511875.0
65,473768.0
66,305772.0
67,930519.0
68,473767.0
69,547681.0
70,410059.0
71,640003.0
72,685973.0
73,728979.0
74,536608.0
75,624812.0
76,501919.0
77,341799.0
78,648724.0
79,693557.0
80,828218.0
81,840938.0
82,504270.0
83,472876.0
84,362133.0
85,88638.0
86,20765.0
87,65158.0
88,52624.0
89,74420.0
90,374224.0
91,74061.0
92,358514.0
93,932917.0
94,470989.0
95,666252.0
96,386374.0
97,580074.0
98,546831.0
99,995786.0
100,367628.0
101,681947.0
102,842884.0
103,514468.0
104,905005.0
105,150165.0
106,449335.0
107,415997.0
108,551280.0
109,661193.0
110,780332.0
111,626990.0
112,822706.0
113,455204.0
114,323871.0
115,467116.0
116,567789.0
117,615086.0
118,837910.0
119,792362.0
120,812809.0
121,1015250.0
