interval,IPC
0,1.38949
1,1.39424
2,1.3927399999999999
3,1.3880700000000001
4,1.3921299999999999
5,1.38491
6,1.37765
7,1.37361
8,1.3760299999999999
9,1.37742
10,1.38035
11,1.38604
12,1.39325
13,1.3932200000000001
14,1.3892
15,1.39178
16,1.38026
17,1.3768200000000002
18,1.37821
19,1.37849
20,1.37653
21,1.3865399999999999
22,1.3823
23,1.374
24,1.37796
25,1.37876
26,1.37799
27,1.37753
28,1.39107
29,1.38134
30,1.37547
31,1.37374
32,1.37652
33,1.37791
34,1.38547
35,1.3914
36,1.3796899999999999
37,1.37837
38,1.37995
39,1.37828
40,1.37652
41,1.38471
42,1.38201
43,1.37432
44,1.37751
45,1.37676
46,1.37659
47,1.38063
48,1.38916
49,1.37719
50,1.37647
51,1.3713899999999999
52,1.37634
53,1.37667
54,1.38612
55,1.3898700000000002
56,1.3765
57,1.37684
58,1.37697
59,1.37932
60,1.37761
61,1.38608
62,1.38201
63,1.37513
64,1.37477
65,1.37188
66,1.37061
67,1.37286
68,1.38785
69,1.38222
70,1.37768
71,1.37905
72,1.37265
73,1.37615
74,1.31764
75,1.32637
76,1.27902
77,1.37022
78,1.37511
79,1.37087
80,1.36899
81,1.37379
82,1.38424
83,1.37551
84,1.36927
85,1.3706399999999999
86,1.37168
87,1.3759700000000001
88,1.38205
89,1.38425
90,1.37371
91,1.37303
92,1.3769999999999998
93,1.37011
94,1.3733600000000001
95,1.38111
96,1.38658
97,1.3768
98,1.37495
