interval,hitsperOccupL3(KB)
0,52388.802083333336
1,10066.653645833334
2,22264.034090909092
3,8931.23046875
4,486.91337719298247
5,748.3645833333334
6,1305.55
7,1601.4654605263158
8,255.80159198113208
9,369.76482371794873
10,223.4925176056338
11,456.95394736842104
12,388.46590909090907
13,434.04829545454544
14,479.02777777777777
15,592.2947303921569
16,756.3382352941177
17,560.2704326923077
18,1539.6314102564102
19,589.40625
20,716.46875
21,790.8605769230769
22,834.2325949367089
23,1554.0625
24,935.1179245283018
25,1105.436320754717
26,853.59375
27,628.3283132530121
28,702.9706325301205
29,1131.2063953488373
30,639.3105670103092
31,1244.1875
32,806.9084821428571
33,650.1145833333334
34,439.0165441176471
35,897.1268656716418
36,642.5088028169014
37,533.0645161290323
38,836.6484375
39,810.1086956521739
40,801.6796875
41,1734.4791666666667
42,1978.3823529411766
43,566.9520547945206
44,1725.033482142857
45,595.1262019230769
46,1085.5815972222222
47,1306.7424242424242
48,686.1342592592592
49,1008.9344262295082
50,651.3647959183673
51,1121.9858870967741
52,1714.9424342105262
53,690.8309659090909
54,705.5560064935065
55,1385.1458333333333
56,929.1611842105264
57,643.1418010752689
58,1078.1627155172414
59,906.044776119403
60,1028.0748456790122
61,852.2309027777778
62,681.0662878787879
63,1729.441713483146
64,793.5587431693989
65,993.2236842105264
66,1442.0689655172414
67,812.095
68,996.9276685393259
69,899.5673076923077
70,1543.3285984848485
71,1174.8726851851852
72,585.7241586538462
73,874.75
74,696.377245508982
75,1716.1971830985915
76,347.22151360544217
77,725.7208806818181
78,374.90277777777777
79,587.0741150442478
80,766.7588141025641
81,516.4012096774194
82,1459.7146739130435
83,816.4285714285714
84,574.1495535714286
85,731.8359375
86,509.49442675159236
87,814.3043154761905
88,618.6517857142857
89,673.2134955752213
90,686.9270833333334
91,752.6699029126214
92,684.3644425675676
93,693.9412715517242
94,567.8329918032787
95,860.63232421875
96,936.1875
97,709.40185546875
98,1292.9444444444443
99,796.3492063492064
100,590.8910891089109
101,1162.3372395833333
102,536.9986263736264
103,1080.1875
104,603.2491438356165
105,880.6730769230769
106,1402.912326388889
107,1588.5018382352941
108,1379.2025862068965
109,954.2743644067797
110,722.3159246575342
111,830.5263157894736
112,838.4375
113,569.0560567010309
114,804.6329365079365
115,573.4147135416666
116,1498.4097222222222
117,489.085
118,421.0973173515982
119,868.084375
120,626.548132183908
121,710.4569892473119
122,776.2736742424242
123,365.63939144736844
124,868.5511363636364
125,1271.25
126,1398.0910326086957
127,507.9229797979798
128,614.5715408805031
129,970.8209745762712
130,1366.439732142857
131,718.8984375
132,761.1525974025974
133,1006.359577922078
134,511.29103535353534
135,514.0625
136,582.8219696969697
137,959.1346153846154
138,898.563829787234
139,686.1438301282051
140,1137.1647727272727
141,925.3242924528302
142,723.6119186046511
143,624.2403846153846
144,675.6483644859813
145,571.4023109243698
146,828.303125
147,457.177734375
148,411.1627094972067
149,516.2362637362637
150,609.3938253012049
151,466.18995633187774
152,527.2493489583334
153,536.0091560509554
154,545.2313535911602
155,592.0260067114094
156,470.671875
157,493.3203125
158,496.1266447368421
159,544.4535256410256
160,539.6957671957672
161,471.20319383259914
162,539.9178403755868
163,598.1202411167512
164,1036.1784351145038
165,933.8814975247525
166,546.7750726744187
167,461.8665919282511
168,553.7625718390805
169,564.3447580645161
170,602.7781413612565
171,447.01180875576034
172,435.4728464419476
173,637.6867055084746
174,569.1844795539033
175,560.9922542735043
176,648.1162790697674
177,650.4369212962963
178,532.78564453125
179,595.0318567961165
180,552.2045693277311
181,592.7579599056604
182,566.8048469387755
183,521.4873120300751
184,482.7075
185,526.1217248908297
186,544.7990088105727
187,578.5724118942732
188,508.7743190661479
189,522.0514838129496
190,794.8985042735043
191,1091.376488095238
192,975.6938559322034
193,828.7473060344828
194,923.2905876494024
195,1286.014835858586
196,1068.6229674796748
197,1434.4712677725117
198,1066.686776061776
199,1448.6543715846994
200,939.9548479087453
201,1097.7389705882354
202,948.0749045801526
203,827.3399390243902
204,643.3920187793427
205,627.109375
206,470.93065693430657
207,677.2726117886178
208,598.7359550561798
209,590.3253154574132
210,656.9181818181818
211,521.3890418502202
212,457.86918604651163
213,588.5315860215054
214,433.25443097014926
215,534.5659722222222
216,545.4484304932736
217,445.4638888888889
218,429.99579596412553
219,424.55282426778246
220,441.55027173913044
221,466.3311298076923
222,464.2925
223,488.7235576923077
224,440.72796934865903
225,751.7713133640553
226,743.813004032258
227,614.82125
228,667.7252252252252
229,543.8377192982456
230,800.0459956709957
231,554.6144153225806
232,526.8416030534352
233,594.2340686274509
234,939.6103395061729
235,659.4586820083682
236,773.6185515873016
237,464.1720479704797
238,608.4362887596899
239,544.1411790780141
240,476.0015368852459
241,712.2247942386831
242,422.67233455882354
243,584.9740484429066
244,496.3204887218045
245,659.0658967391304
246,433.30098122866895
247,625.1475694444445
248,516.5884387351779
249,586.5798010380623
250,527.1828218562874
251,479.04743975903614
252,623.715524911032
253,628.3717105263158
254,510.3332703927492
255,649.1504237288135
256,571.4668188202247
257,615.940349544073
258,594.107428115016
259,692.8229166666666
260,557.1499624624624
261,524.2403846153846
262,610.5783420138889
263,732.7379115226338
264,565.0357142857143
265,729.573143115942
266,673.4470785440614
267,441.2472222222222
268,505.0197208737864
269,462.4025974025974
270,374.38612099644126
271,625.6582125603865
272,563.9717371323529
