interval,hitsL3
0,5400.0
1,4599.0
2,451032.0
3,121796.0
4,79390.0
5,138589.0
6,2332230.0
7,1111550.0
8,1423840.0
9,2027550.0
10,2648330.0
11,3112130.0
12,2754150.0
13,1393410.0
14,199703.0
15,89666.0
16,4480.0
17,27420.0
18,834270.0
19,210729.0
20,1884100.0
21,1079140.0
22,2506430.0
23,2263190.0
24,3032580.0
25,2916280.0
26,3085220.0
27,1408480.0
28,316386.0
29,135953.0
30,2242980.0
31,1558220.0
32,1191190.0
33,2540710.0
34,2789420.0
35,3102360.0
36,2429000.0
37,87624.0
38,235247.0
39,529725.0
40,1244310.0
41,1230420.0
42,2636960.0
43,3133530.0
44,2761700.0
45,3091420.0
46,2993450.0
47,435365.0
48,135930.0
49,1516570.0
50,2146370.0
51,1355880.0
52,2912900.0
53,2980280.0
54,2915530.0
55,3128070.0
56,2642750.0
57,122746.0
58,247141.0
59,1299130.0
60,1076330.0
61,1117110.0
62,2868120.0
63,2903540.0
64,2937580.0
65,1827350.0
66,826943.0
67,122958.0
68,1566380.0
69,1164840.0
70,1600460.0
71,2346680.0
72,3031770.0
73,2872020.0
74,3048800.0
75,1506890.0
76,424873.0
77,123137.0
78,1680740.0
79,1770570.0
80,1515210.0
81,2495710.0
82,3026080.0
83,2915690.0
84,3014320.0
85,1210390.0
86,90109.0
87,201174.0
88,1596090.0
89,1710150.0
90,1384220.0
91,2961870.0
92,2901100.0
93,2989020.0
94,2695150.0
95,77862.0
96,138172.0
97,636626.0
98,1620700.0
99,1529750.0
100,1309300.0
101,3032850.0
102,2910540.0
103,3026830.0
104,1111620.0
105,373135.0
106,118721.0
107,1637580.0
108,1437980.0
109,1444620.0
110,2589260.0
111,2966370.0
112,3086570.0
113,2830020.0
114,994199.0
115,143137.0
116,521321.0
117,1142420.0
118,1093940.0
119,1515960.0
120,2993480.0
121,3065070.0
122,3089160.0
123,916891.0
124,84588.0
125,133738.0
126,1312070.0
127,1042900.0
128,1120500.0
129,2607170.0
130,3105320.0
131,3074160.0
132,2004220.0
133,244329.0
134,135291.0
135,811184.0
136,1188340.0
137,1223960.0
138,1947350.0
139,3129810.0
140,3018070.0
141,2826360.0
142,266163.0
143,113003.0
144,579266.0
145,1107200.0
146,1136240.0
147,1537240.0
148,3116920.0
149,2974800.0
150,3117600.0
151,605515.0
