interval,IPC
0,1.2867600000000001
1,1.26568
2,1.5659
3,1.26749
4,1.18216
5,1.28351
6,1.42145
7,1.30103
8,1.32071
9,1.2959
10,1.38968
11,1.4622600000000001
12,1.5258399999999999
13,1.4347
14,1.30634
15,1.29519
16,1.4023
17,1.6190799999999999
18,1.63537
19,1.46271
20,1.6836200000000001
21,1.2526
22,1.28025
23,1.23328
24,1.34641
25,1.2746899999999999
26,1.53241
27,1.25621
28,1.19282
29,1.24922
30,1.18623
31,1.3130600000000001
32,1.27911
33,1.261
34,1.28215
35,1.5045
36,1.37148
37,1.26522
38,1.4865899999999999
39,1.5116100000000001
40,1.22956
41,1.3042799999999999
42,1.2716100000000001
43,1.56823
44,1.3516
45,1.4519600000000001
46,1.2315399999999999
47,1.4325299999999999
48,1.186
49,1.22021
50,1.27579
51,1.2472299999999998
52,1.27283
53,1.1883700000000001
54,1.25536
55,1.20561
56,1.20299
57,1.24571
58,1.2201899999999999
59,1.15416
60,1.18085
61,1.38869
62,1.36004
63,1.22553
64,1.20886
65,1.26325
66,1.21338
67,1.23364
68,1.2366700000000002
69,1.26483
70,1.19059
71,1.1154899999999999
72,1.27406
73,1.24161
74,1.23543
75,1.25617
76,1.25205
77,1.1848
78,1.19868
79,1.4893399999999999
80,1.7054200000000002
81,1.5407899999999999
82,1.58873
83,1.57221
84,1.38294
85,1.56265
86,1.44361
87,1.24033
88,1.58631
89,1.24635
90,1.2306
91,1.19343
92,1.34565
93,1.25963
94,1.21691
95,1.17362
96,1.21424
97,1.32475
98,1.43183
99,1.26742
100,1.23745
101,1.20072
102,1.1725299999999999
103,1.09883
104,1.2747899999999999
105,1.3643299999999998
106,1.41539
107,1.23217
108,1.22796
109,1.19339
110,1.2264700000000002
111,1.26512
112,1.3005200000000001
