interval,hitsL3
0,1181040.0
1,1647000.0
2,2325790.0
3,3099970.0
4,1745090.0
5,1753780.0
6,208574.0
7,27184.0
8,1695830.0
9,1760200.0
10,2971890.0
11,2831420.0
12,1773460.0
13,1065790.0
14,1753800.0
15,1760950.0
16,3102840.0
17,2549770.0
18,1476490.0
19,974215.0
20,1755500.0
21,1974320.0
22,3117060.0
23,2234500.0
24,1415230.0
25,977035.0
26,1757840.0
27,2120290.0
28,3046290.0
29,2047760.0
30,1411550.0
31,1018350.0
32,1759720.0
33,2229920.0
34,3074550.0
35,1886400.0
36,1371060.0
37,1103460.0
38,1734090.0
39,2355290.0
40,3074940.0
41,1739900.0
42,1257410.0
43,1196820.0
44,1746450.0
45,2444910.0
46,3053030.0
47,1601320.0
48,1146480.0
49,1152710.0
50,1736640.0
51,2414670.0
52,3096140.0
53,1669060.0
54,1182330.0
55,1307840.0
56,1755300.0
57,2597800.0
58,3103370.0
59,1466950.0
60,1063080.0
61,1356060.0
62,1760100.0
63,2602840.0
64,3108680.0
65,1429570.0
66,996696.0
67,1579150.0
68,1759130.0
69,2805490.0
70,2884580.0
71,1390780.0
72,879854.0
73,1718660.0
74,1758560.0
75,2923600.0
76,2764040.0
77,1440420.0
78,849424.0
79,1756950.0
80,1758370.0
81,2972540.0
82,2592410.0
83,1436120.0
84,873523.0
85,1756500.0
86,1831230.0
87,3096450.0
88,2442670.0
89,1435540.0
90,942256.0
91,1755070.0
92,1945380.0
93,3073020.0
94,2275840.0
95,1431370.0
96,990586.0
97,1753680.0
98,2132450.0
99,3096220.0
100,2037300.0
101,1398360.0
102,1012300.0
