interval,hitsL3
0,366891.0
1,1889980.0
2,2868130.0
3,2694900.0
4,2201500.0
5,2492100.0
6,2853100.0
7,3327490.0
8,3250280.0
9,2780160.0
10,2841740.0
11,2803590.0
12,3188680.0
13,2942730.0
14,2660900.0
15,2888980.0
16,2893140.0
17,2326460.0
18,2774120.0
19,2920970.0
20,3053390.0
21,3090690.0
22,3130910.0
23,2871440.0
24,2944560.0
25,3002670.0
26,2636370.0
27,2276190.0
28,2796380.0
29,2759640.0
30,2751670.0
31,2041040.0
32,2364280.0
33,3029850.0
34,2813270.0
35,2563340.0
36,2429450.0
37,1873060.0
38,1581680.0
39,2567530.0
40,2837830.0
41,2218550.0
42,2152940.0
43,2068700.0
44,2244270.0
45,2268670.0
46,2891920.0
47,2557520.0
48,1909250.0
49,1758730.0
50,2180010.0
51,2101160.0
52,2109970.0
53,2189130.0
54,3008190.0
55,2494340.0
56,2423250.0
57,2056670.0
58,1973540.0
59,1743360.0
60,1803840.0
61,2215220.0
62,2334930.0
63,2386700.0
64,2038970.0
65,2107310.0
66,2131760.0
67,2325930.0
68,2188370.0
69,2077960.0
70,2028350.0
71,2187300.0
72,1883750.0
73,2195540.0
74,1921910.0
75,2056990.0
76,2136550.0
77,2234140.0
78,2535410.0
79,2757760.0
80,2082890.0
81,1604210.0
82,2069560.0
83,2226890.0
84,2189090.0
85,2227340.0
86,2215270.0
87,2321450.0
88,2964760.0
89,2487130.0
90,2147900.0
91,1774100.0
92,1589640.0
93,1948180.0
94,2243800.0
95,2283040.0
96,2155190.0
97,2587620.0
98,2778810.0
99,2547200.0
100,2250980.0
101,2230880.0
102,1780970.0
103,1613230.0
104,2281030.0
105,2506490.0
106,2527040.0
107,2178270.0
108,2397760.0
109,1837870.0
110,1878030.0
111,2542140.0
112,3322370.0
113,2971460.0
114,2467280.0
115,2760000.0
116,3455760.0
117,2611450.0
118,2682940.0
119,1981450.0
120,2513150.0
121,2948400.0
122,2049960.0
123,2828520.0
124,2822390.0
125,3181120.0
126,5114900.0
127,5816280.0
128,5511650.0
129,5698570.0
130,4700830.0
131,5455680.0
