interval,hitsL3
0,749339.0
1,903174.0
2,74913.0
3,854190.0
4,961960.0
5,340031.0
6,107887.0
7,779903.0
8,958616.0
9,1029420.0
10,694994.0
11,77823.0
12,181411.0
13,99861.0
14,135360.0
15,487107.0
16,449960.0
17,26365.0
18,51327.0
19,209986.0
20,309518.0
21,1256090.0
22,390240.0
23,789697.0
24,1395100.0
25,397381.0
26,104557.0
27,526592.0
28,752358.0
29,962787.0
30,985644.0
31,729924.0
32,545872.0
33,858590.0
34,744144.0
35,125366.0
36,176713.0
37,434460.0
38,70157.0
39,151875.0
40,878987.0
41,318046.0
42,457382.0
43,139292.0
44,664182.0
45,81963.0
46,1104720.0
47,351943.0
48,251538.0
49,309822.0
50,140799.0
51,192096.0
52,246940.0
53,353134.0
54,376022.0
55,423586.0
56,514814.0
57,239505.0
58,337529.0
59,443602.0
60,614266.0
61,569112.0
62,683450.0
63,1177050.0
64,906628.0
65,608387.0
66,807633.0
67,1015790.0
68,1143550.0
69,748123.0
70,867626.0
71,603544.0
72,519065.0
73,898513.0
74,1314600.0
75,776720.0
76,1175580.0
77,876718.0
78,697645.0
79,109703.0
80,15941.0
81,76325.0
82,54786.0
83,87830.0
84,515867.0
85,122468.0
86,703697.0
87,1275050.0
88,319327.0
89,1153280.0
90,903327.0
91,892416.0
92,784003.0
93,752608.0
94,1095430.0
95,1096130.0
96,956097.0
97,1151150.0
98,397481.0
99,559628.0
100,770539.0
101,1141720.0
102,1042160.0
103,938388.0
104,975488.0
105,642666.0
106,481326.0
107,901581.0
108,981938.0
109,1108750.0
110,755768.0
111,1207660.0
112,1345890.0
