interval,hitsL3
0,9199.0
1,14561.0
2,17570.0
3,60100.0
4,758634.0
5,556018.0
6,42380.0
7,46730.0
8,1303030.0
9,1510840.0
10,1510680.0
11,2136080.0
12,2493890.0
13,2467230.0
14,1656230.0
15,7030.0
16,271623.0
17,1140490.0
18,45094.0
19,53120.0
20,515148.0
21,1524850.0
22,1527340.0
23,1557290.0
24,2396910.0
25,2350080.0
26,2515700.0
27,788404.0
28,893898.0
29,51692.0
30,61151.0
31,739269.0
32,1502790.0
33,1495270.0
34,1695870.0
35,2371800.0
36,2318980.0
37,2390270.0
38,563978.0
39,869514.0
40,47712.0
41,56280.0
42,935152.0
43,1455580.0
44,1461220.0
45,1861580.0
46,2454650.0
47,2404740.0
48,2264730.0
49,1141170.0
50,993387.0
51,49523.0
52,47622.0
53,1132010.0
54,1481670.0
55,1470800.0
56,1962230.0
57,2424950.0
58,2405310.0
59,2040540.0
60,1006950.0
61,221996.0
62,43177.0
63,44757.0
64,1381300.0
65,1466760.0
66,1480160.0
67,2069490.0
68,2409620.0
69,2358590.0
70,1919730.0
71,1064010.0
72,643600.0
73,50476.0
74,49435.0
75,1471710.0
76,1473050.0
77,1474820.0
78,2176430.0
79,2477090.0
80,2322040.0
81,1669930.0
82,1065110.0
83,236817.0
84,50963.0
85,152630.0
86,1486430.0
87,1484790.0
88,1497620.0
89,2282430.0
90,2381890.0
91,2423010.0
92,1463420.0
93,973041.0
94,54609.0
95,49897.0
96,370010.0
97,1476610.0
98,1494170.0
99,1492880.0
100,2443340.0
101,2454570.0
102,2450340.0
103,1105810.0
104,992248.0
