interval,hitsperOccupL3(KB)
0,936.296875
1,22.1875
2,18.85625
3,42.53125
4,20.147569444444443
5,11.212053571428571
6,20.007440476190474
7,19.544507575757574
8,14.220352564102564
9,20.933423913043477
10,12.890202702702704
11,15.296452702702704
12,15.109848484848484
13,9.061170212765957
14,13.129032258064516
15,9.678728070175438
16,10.782894736842104
17,10.446428571428571
18,9.418981481481481
19,11.247448979591837
20,15.300986842105264
21,9.967329545454545
22,13.316287878787879
23,11.420036764705882
24,11.28448275862069
25,32.6171875
26,9.89453125
27,68.86458333333333
28,38.80625
29,135.484375
30,32.0859375
31,6348.317819148936
32,37215.15957446808
33,47424.356617647056
34,33458.9375
35,31362.720070422536
36,21933.394607843136
37,17502.03373015873
38,15414.790076335878
39,16124.709302325582
40,15376.733732876712
41,13362.05078125
42,14938.956925675675
43,11358.821614583334
44,13127.555147058823
45,11377.139778325123
46,11800.309244791666
47,10178.513824884792
48,17014.112103174604
49,16812.105855855854
50,19174.321933962263
51,8686.257381889764
52,9865.266628440368
53,8956.69642857143
54,8395.479484732825
55,9230.403645833334
56,9283.69391025641
57,10448.735119047618
58,8903.137807377048
59,18361.8639380531
60,16887.143640350878
61,7584.9722696245735
62,10474.170616113744
63,9766.131756756757
64,10753.033536585366
65,9427.34375
66,9615.104166666666
67,10763.662439613527
68,10780.039828431372
69,9745.339439655172
70,13426.79435483871
71,18416.929611650485
72,10079.976303317535
73,9704.380707762557
74,9523.782467532468
75,9780.14705882353
76,9309.309071729958
77,8644.0875
78,8050.187059859155
79,7507.46644295302
80,7592.763157894737
81,11718.41911764706
82,13561.004464285714
83,7380.410289115646
84,6255.171130952381
85,6106.839285714285
86,6813.105158730159
87,6224.209872159091
88,6416.2828947368425
89,7596.691176470588
90,5141.374703087886
91,4828.153409090909
92,9312.087264150943
93,4420.684180138568
94,5130.4985119047615
95,4859.535256410257
96,5615.283203125
97,4983.347902097902
98,6082.325819672131
99,5879.298941798942
100,6914.402602523659
101,7116.444672131148
102,7555.90524911032
103,11695.49463190184
104,6519.037969283277
105,6430.162241887906
106,8206.809338521402
107,8103.509615384615
108,6579.820884146341
109,16819.37003968254
