interval,hitsperOccupL3(KB)
0,1009.7297297297297
1,18.04971590909091
2,11.422348484848484
3,30.066666666666666
4,40.84375
5,15.666666666666666
6,13.713362068965518
7,10.429245283018869
8,12.03515625
9,17.197443181818183
10,11.110294117647058
11,6.714154411764706
12,14.787037037037036
13,8.150135869565217
14,13.899038461538462
15,5.5849609375
16,19.141369047619047
17,5.025841346153846
18,15.151988636363637
19,9.052083333333334
20,9.330236486486486
21,9.286805555555556
22,9.840701219512194
23,7.194196428571429
24,5.751704545454546
25,15.119791666666666
26,8.12890625
27,7.911458333333333
28,6.899639423076923
29,7.036352040816326
30,13.943509615384615
31,1764.0924657534247
32,14400.24834437086
33,19094.348958333332
34,13120.285087719298
35,14159.334677419354
36,17472.5
37,15610.509072580646
38,18849.08088235294
39,13676.763803680982
40,14643.790584415585
41,13176.25
42,13732.291666666666
43,15078.102992957747
44,13309.946646341463
45,14010.096153846154
46,15440.033783783783
47,12103.500683060109
48,17391.03982300885
49,10955.010775862069
50,12214.240056818182
51,12760.763888888889
52,12339.547413793103
53,14383.104166666666
54,12049.177631578947
55,13110.188609467456
56,12458.09659090909
57,13845.292721518987
58,12602.301646706586
59,14607.99141221374
60,11929.65909090909
61,11541.468253968254
62,11030.997474747475
63,13828.616352201258
64,12704.92931547619
65,13206.002286585366
66,15596.335431654676
67,11482.117146596858
68,13656.690705128205
69,16425.28846153846
70,19208.47355769231
71,12637.085843373494
72,11944.594109195403
73,12525.79044117647
74,12652.362351190477
75,12778.41911764706
76,13781.56847133758
77,15390.93974820144
78,11395.328443877552
79,14747.875816993464
80,14037.012411347518
81,17001.244469026547
82,14875.50616197183
83,11745.75892857143
84,12272.375
85,13377.01171875
86,11658.182123655914
87,15938.683035714286
88,13096.82142857143
89,12882.224264705883
90,15176.638986013986
91,17217.671460176993
92,13152.753496503496
93,12583.607784431138
94,13079.716257668711
95,13317.23602484472
96,16895.90600775194
97,14435.409902597403
98,18358.66935483871
99,14078.70592948718
100,13609.976708074535
101,12712.227470930233
102,14836.370192307691
103,14428.6376953125
104,12353.160714285714
105,10501.33495145631
106,10687.575120192309
107,13573.840408805032
108,17766.813016528926
109,17378.097345132745
