interval,hitsperOccupL3(KB)
0,78.90169270833333
1,20.57421875
2,18.3046875
3,16.326041666666665
4,16.205818965517242
5,23.731617647058822
6,30.611842105263158
7,17.1875
8,17.520432692307693
9,16.85237068965517
10,25.932065217391305
11,20.01953125
12,29.02764423076923
13,23.67013888888889
14,19.023706896551722
15,30.62109375
16,25.301470588235293
17,14.5166015625
18,28.41796875
19,29.28298611111111
20,25.493055555555557
21,15.608901515151516
22,31.76909722222222
23,18.002155172413794
24,28.13671875
25,23.800986842105264
26,38.26953125
27,23.532738095238095
28,36.13701923076923
29,23.7984375
30,20.86328125
31,35.183035714285715
32,31.174632352941178
33,69.515625
34,17.328125
35,25.963541666666668
36,67.6875
37,49.677083333333336
38,142.53125
39,131.21875
40,31.921875
41,19.558035714285715
42,34.7890625
43,19.84375
44,34.9296875
45,30.484375
46,inf
47,inf
48,33.0625
49,20.864583333333332
50,122.28125
51,30.5546875
52,14.73046875
53,18.786458333333332
54,18.40625
55,29.4609375
56,119.28125
57,30.0546875
58,inf
59,27.828125
60,54.921875
61,inf
62,28.3984375
63,116.25
64,29.078125
65,inf
66,inf
67,inf
68,28.203125
69,36.208333333333336
70,30.0
71,17.932291666666668
72,37.239583333333336
73,21.69375
74,27.6796875
75,28.765625
76,117.5
77,inf
78,36.84375
79,28.765625
80,107.65625
81,inf
82,inf
83,109.4375
84,inf
85,125.375
86,43.708333333333336
87,inf
88,inf
89,134.71875
90,inf
91,inf
92,31.421875
93,inf
94,38.927083333333336
95,31.890625
96,27.15625
97,inf
98,108.625
99,16.232142857142858
100,36.114583333333336
101,inf
102,28.0078125
103,114.0
104,36.885416666666664
105,29.8359375
106,28.390625
107,63.09375
108,inf
109,35.666666666666664
110,62.0625
111,54.171875
112,18.130208333333332
113,inf
114,inf
115,116.21875
116,29.46875
