interval,hitsL3
0,784950.0
1,768180.0
2,852296.0
3,895267.0
4,839183.0
5,888506.0
6,894470.0
7,917842.0
8,917466.0
9,847811.0
10,921547.0
11,903017.0
12,894390.0
13,875333.0
14,898591.0
15,892434.0
16,880844.0
17,899029.0
18,877617.0
19,883972.0
20,902895.0
21,881342.0
22,898598.0
23,920846.0
24,899414.0
25,881683.0
26,872234.0
27,903102.0
28,857837.0
29,877106.0
30,899687.0
31,886817.0
32,928887.0
33,920098.0
34,888983.0
35,850018.0
36,900888.0
37,899346.0
38,891993.0
39,902878.0
40,873216.0
41,876126.0
42,880542.0
43,910061.0
44,896935.0
45,853663.0
46,921416.0
47,899704.0
48,873517.0
49,861683.0
50,893343.0
51,888668.0
52,884795.0
53,876886.0
54,903973.0
55,904156.0
56,926159.0
57,895767.0
58,890606.0
59,881109.0
60,889778.0
61,870930.0
62,895327.0
63,900054.0
64,885010.0
65,900937.0
66,914479.0
67,900524.0
68,893207.0
69,915435.0
70,914570.0
71,910100.0
72,878717.0
73,892363.0
74,908442.0
75,886290.0
76,896998.0
77,907603.0
78,885367.0
79,894159.0
80,891702.0
81,873456.0
82,891482.0
83,926068.0
84,902020.0
85,908957.0
86,903372.0
87,887289.0
88,874715.0
89,822025.0
90,853000.0
91,842765.0
92,870643.0
93,826797.0
94,875816.0
95,818830.0
96,825782.0
97,841310.0
98,857879.0
99,887169.0
100,810631.0
101,855994.0
102,846365.0
103,835265.0
104,860959.0
105,868974.0
106,842190.0
107,837355.0
108,812305.0
109,868229.0
110,832441.0
111,798728.0
112,776943.0
