interval,hitsperOccupL3(KB)
0,2629.29375
1,219.70291479820628
2,467.8489263803681
3,505.2934966216216
4,554.4951923076923
5,900.7401315789474
6,503.82211538461536
7,478.57
8,479.836189516129
9,445.5281690140845
10,496.4
11,523.8464095744681
12,554.4830607476636
13,695.75
14,535.9841954022988
15,638.8541666666666
16,552.2663834951456
17,479.1469594594595
18,1049.8214285714287
19,513.9776234567901
20,596.3032670454545
21,480.26331018518516
22,500.0701530612245
23,722.0413306451613
24,762.5979477611941
25,532.1808510638298
26,538.1777108433735
27,629.6240942028985
28,469.5414719626168
29,591.1813186813187
30,520.1962209302326
31,540.7445987654321
32,563.3505154639175
33,464.83247422680415
34,331.8111313868613
35,511.34342783505156
36,483.659375
37,518.4773936170212
38,661.3975694444445
39,685.6149193548387
40,524.0474397590361
41,420.445
42,538.642578125
43,497.15315934065933
44,429.03465346534654
45,469.65412621359224
46,539.2866847826087
47,529.7315705128206
48,383.96728515625
49,567.2434210526316
50,1305.2631578947369
51,423.3838383838384
52,648.759765625
53,565.5735294117648
54,574.0552325581396
55,614.5920138888889
56,557.8556034482758
57,479.4733796296296
58,645.7534246575342
59,484.0896739130435
60,630.9375
61,526.2850765306123
62,627.6700949367089
63,674.1971153846154
64,445.87890625
65,484.18981481481484
66,1198.4375
67,538.2584269662922
68,560.4360465116279
69,548.239247311828
70,669.3041666666667
71,519.1432584269663
72,1096.1576704545455
73,685.6044407894736
74,812.3958333333334
75,520.0105337078652
76,567.3773734177215
77,782.1979166666666
78,754.9003623188406
79,537.8933823529412
80,1184.654605263158
81,435.6745049504951
82,636.4632352941177
83,761.4505597014926
84,857.0479910714286
85,663.5535714285714
86,662.08984375
87,611.2540064102565
88,625.2156690140845
89,676.6773897058823
90,692.9347826086956
91,693.2215073529412
92,375.6840551181102
93,444.4761904761905
94,646.4280063291139
95,657.5642123287671
96,431.65
97,401.92216981132077
98,517.7864583333334
99,574.2389705882352
100,527.2892441860465
101,545.8671875
102,595.46875
103,665.4243827160494
104,356.1218525179856
105,388.3696933962264
106,565.6484375
107,595.75
108,455.9343434343434
109,657.8413461538462
110,592.2234195402299
111,515.6899752475248
112,439.8792613636364
113,458.03006329113924
114,529.9842171717172
115,794.8015873015873
116,492.8974184782609
117,461.3671875
118,564.2072368421053
119,543.3828883495146
120,612.301747311828
121,330.62312874251495
122,524.6642561983471
123,663.6318597560976
124,478.1317204301075
125,893.1550480769231
126,545.5248786407767
127,366.4569805194805
128,454.15771484375
129,679.8705357142857
130,371.08212809917353
131,534.3298969072165
132,617.5845588235294
133,650.3492647058823
134,515.6527777777778
135,786.4895833333334
136,501.2375
137,375.546875
138,391.9928278688525
139,469.2085280373832
140,617.9583333333334
141,591.6089527027027
142,461.75063775510205
143,490.934375
144,496.8130896226415
145,635.1685855263158
146,417.82866379310343
147,403.43220338983053
148,538.9413265306123
149,566.9405864197531
150,481.86830357142856
151,811.9053398058253
152,922.6611328125
153,913.0397727272727
154,514.9078947368421
155,630.8482142857143
156,689.019691780822
157,1012.953629032258
158,1336.0958904109589
