interval,hitsL3
0,709235.0
1,595253.0
2,570451.0
3,548266.0
4,617172.0
5,573088.0
6,574375.0
7,610744.0
8,608575.0
9,619592.0
10,588827.0
11,534307.0
12,626586.0
13,601953.0
14,562748.0
15,583464.0
16,579070.0
17,601426.0
18,609676.0
19,600306.0
20,562121.0
21,578512.0
22,615491.0
23,633383.0
24,630603.0
25,634971.0
26,611034.0
27,630173.0
28,629327.0
29,722945.0
30,657983.0
31,688345.0
32,711258.0
33,737044.0
34,787614.0
35,804907.0
36,802545.0
37,824984.0
38,774181.0
39,618771.0
40,764121.0
41,775132.0
42,838605.0
43,784195.0
44,826823.0
45,804942.0
46,780033.0
47,812703.0
48,844658.0
49,749623.0
50,826432.0
51,736533.0
52,732629.0
53,797104.0
54,748339.0
55,600861.0
56,646891.0
57,657887.0
58,774905.0
59,710253.0
60,656524.0
61,649686.0
62,663337.0
63,657429.0
64,669612.0
65,647765.0
66,726064.0
67,700749.0
68,639610.0
69,635643.0
70,591573.0
71,635654.0
72,663427.0
73,690651.0
74,752722.0
75,776759.0
76,784527.0
77,781246.0
78,819058.0
79,794459.0
80,839866.0
81,768116.0
82,824470.0
83,819539.0
84,831083.0
85,871507.0
86,856845.0
87,912414.0
88,885159.0
89,874240.0
90,897574.0
91,873162.0
92,896365.0
93,851642.0
94,825440.0
95,836141.0
96,817838.0
97,819637.0
98,814729.0
99,837353.0
100,828443.0
101,833288.0
102,781634.0
103,789504.0
104,852172.0
105,847855.0
106,874236.0
107,859962.0
108,872946.0
109,791392.0
110,883612.0
111,839188.0
