interval,IPC
0,1.93015
1,1.89943
2,1.8394599999999999
3,1.8476599999999999
4,1.91857
5,1.83549
6,1.88382
7,1.81361
8,1.81237
9,1.89192
10,1.7951400000000002
11,1.95702
12,1.8232099999999998
13,1.81293
14,1.9020700000000001
15,1.80057
16,1.8874900000000001
17,1.8198900000000002
18,1.82178
19,1.94833
20,1.8076599999999998
21,1.9368
22,1.84244
23,1.81349
24,1.9180599999999999
25,1.8232400000000002
26,1.88841
27,1.90767
28,1.8194599999999999
29,1.9424099999999997
30,1.82296
31,1.8762900000000002
32,1.89058
33,1.8323900000000002
34,1.96355
35,1.8279400000000001
36,1.86041
37,1.92334
38,1.831
39,1.92157
40,1.8288
41,1.84033
42,1.89533
43,1.8479400000000001
44,1.9122599999999998
45,1.8466
46,1.8300599999999998
47,1.90657
48,1.8265900000000002
49,1.90685
50,1.8603900000000002
51,1.83142
52,1.9254
53,1.83945
54,1.8887599999999998
55,1.8718400000000002
56,1.81417
57,1.9606
58,1.8318599999999998
59,1.8794799999999998
60,1.87297
61,1.84325
62,1.9604
63,1.8284799999999999
64,1.88473
65,1.90629
66,1.8270400000000002
67,1.9502
68,1.83477
69,1.86202
70,1.9110200000000002
71,1.8204
72,1.9194099999999998
73,1.8467099999999999
74,1.8308099999999998
75,1.92172
76,1.8270099999999998
77,1.91935
78,1.8576099999999998
79,1.8166099999999998
