interval,hitsL3
0,1753580.0
1,2131110.0
2,2152150.0
3,2150540.0
4,2162400.0
5,2059860.0
6,2238440.0
7,2137900.0
8,2015720.0
9,2263820.0
10,2007260.0
11,2240080.0
12,2096110.0
13,2005830.0
14,2283630.0
15,2018040.0
16,2189460.0
17,2134410.0
18,2025380.0
19,2251510.0
20,2041700.0
21,2163350.0
22,2170020.0
23,2008900.0
24,2177420.0
25,2135380.0
26,2073160.0
27,2194520.0
28,2046030.0
29,2180650.0
30,2099580.0
31,2027180.0
32,2081210.0
33,2198170.0
34,2325400.0
35,2147050.0
36,2105630.0
37,2154110.0
38,2023010.0
39,2161240.0
40,2054200.0
41,2045510.0
42,2219000.0
43,2011160.0
44,2182230.0
45,2037650.0
46,1977590.0
47,2245600.0
48,2022980.0
49,2183940.0
50,2073030.0
51,2014590.0
52,2199400.0
53,2018810.0
54,2126910.0
55,2144880.0
56,2006900.0
57,2155390.0
58,2055130.0
59,2046520.0
60,2229630.0
61,2005590.0
62,2180600.0
63,2017510.0
64,2020790.0
65,2250400.0
66,2024550.0
67,2157400.0
68,2067930.0
69,2015520.0
70,2202340.0
71,1960840.0
72,2125190.0
73,2150330.0
74,2011750.0
75,2160010.0
76,2058540.0
77,2034160.0
78,2231770.0
79,1992590.0
