interval,hitsperOccupL3(KB)
0,2609.4940476190477
1,4439.8125
2,3362.734375
3,5600.364583333333
4,8446.875
5,3387.9276315789475
6,4663.416666666667
7,7423.263888888889
8,7873.90625
9,1645.218023255814
10,5227.239583333333
11,5384.807692307692
12,5458.619791666667
13,3917.63671875
14,3568.171875
15,3941.484375
16,4561.375
17,1075.811491935484
18,3723.125
19,2512.8459821428573
20,7975.390625
21,3976.7463235294117
22,3390.65625
23,3923.6328125
24,4536.291666666667
25,6066.420454545455
26,5398.854166666667
27,2857.4479166666665
28,10656.40625
29,5241.947115384615
30,4100.7421875
31,7038.819444444444
32,8129.7265625
33,7632.534722222223
34,3303.125
35,4193.45703125
36,4386.729166666667
37,3205.5208333333335
38,15804.765625
39,9648.392857142857
40,8024.21875
41,7102.465277777777
42,4079.044117647059
43,3696.985294117647
44,5682.890625
45,950.3964552238806
46,2574.9869791666665
47,17543.75
48,3951.1328125
49,5249.8557692307695
50,4048.88671875
51,4197.0625
52,1041.3825757575758
53,15771.953125
54,4154.12109375
55,4189.21875
56,7839.453125
57,8419.4921875
58,7135.868055555556
59,5813.977272727273
60,4354.74609375
61,3917.16796875
62,3785.7638888888887
63,2865.78125
64,7893.7109375
65,3701.315789473684
66,3329.8519736842104
67,4494.583333333333
68,818.0102848101266
69,7873.125
70,3277.2916666666665
71,7659.53125
72,4427.479166666667
73,3733.2118055555557
74,6985.243055555556
75,9642.901785714286
76,16082.34375
77,4889.807692307692
78,3487.140625
79,3891.77734375
