interval,hitsperOccupL3(KB)
0,3467.8645833333335
1,285.61767578125
2,506.968085106383
3,440.46610169491527
4,456.7241379310345
5,518.2529761904761
6,428.0081106870229
7,399.11830357142856
8,356.04430379746833
9,491.4128151260504
10,393.53225806451616
11,456.13392857142856
12,511.02982954545456
13,439.393115942029
14,460.5711206896552
15,668.8934948979592
16,419.16859567901236
17,426.39112903225805
18,355.0032722513089
19,372.95284431137725
20,344.93168604651163
21,376.3541666666667
22,368.5904255319149
23,404.9702380952381
24,435.72315705128204
25,404.010724852071
26,378.74509162303667
27,413.5234375
28,345.66745923913044
29,381.8439226519337
30,362.86019736842104
31,338.1485215053763
32,383.90625
33,341.66050295857985
34,350.6885302197802
35,524.9793388429752
36,355.1189630681818
37,316.8260135135135
38,374.11487430167597
39,610.8303571428571
40,279.51073232323233
41,482.3345588235294
42,296.7314189189189
43,432.3958333333333
44,280.80300632911394
45,351.8081395348837
46,402.58522727272725
47,346.42543859649123
48,371.89016990291265
49,547.1077586206897
50,298.0242890995261
51,392.8702445652174
52,504.8204291044776
53,298.18985849056605
54,335.2736111111111
55,340.48227163461536
56,332.5220070422535
57,357.39204545454544
58,332.4697189922481
59,308.57011554621846
60,346.65060572687224
61,398.5904605263158
62,306.41583935018053
63,396.34199134199133
64,387.73644911504425
65,307.80687949640287
66,340.43111313868616
67,343.1877413127413
68,365.684963099631
69,356.6102789256198
70,337.384033203125
71,330.1459099264706
72,356.28891509433964
73,337.89375
74,362.37430811808116
75,367.6050101214575
76,343.888134057971
77,368.52838645418325
78,338.43278301886795
79,347.23214285714283
80,423.32118834080717
81,340.2367841409692
82,327.41782868525894
83,378.2350352112676
84,389.9831081081081
85,417.87970430107526
86,342.9607371794872
87,335.71953781512605
88,349.60425204918033
89,320.3060165975104
90,334.4782838983051
91,330.5104166666667
92,414.5713876146789
93,321.2717725409836
94,348.64204545454544
95,341.03326612903226
96,388.6655405405405
97,366.44447424892707
98,373.34550865800867
99,355.22841365461846
100,375.63162076271186
101,362.1751968503937
102,388.61293859649123
103,343.6329787234043
104,335.8775
105,398.4893292682927
106,393.5907738095238
107,342.23116812227073
108,401.85806650246303
109,353.197337962963
110,374.13839285714283
111,360.0804324894515
112,355.9125525210084
113,336.6552337398374
114,398.55366492146595
115,387.2113095238095
116,351.6796875
117,330.9637721238938
118,364.72273284313724
119,323.1460201793722
120,379.7347972972973
121,352.5249335106383
122,375.8760245901639
123,407.874634502924
124,446.89797794117646
125,492.5328947368421
126,392.88194444444446
127,369.1075
128,400.7219827586207
129,460.751953125
130,515.0666666666667
131,549.1702586206897
132,1055.3700657894738
133,663.6705729166666
134,709.7782738095239
135,655.5213068181819
136,740.8421052631579
137,709.0596590909091
138,962.0166666666667
139,1006.9289772727273
140,480.0451388888889
141,367.8645833333333
142,801.1732954545455
143,528.921875
144,683.9206730769231
145,638.3365384615385
146,1016.6840277777778
147,761.6818181818181
148,903.1909722222222
149,901.6215277777778
150,1004.41015625
