interval,hitsL3
0,74894.0
1,80584.0
2,147353.0
3,250602.0
4,85642.0
5,87484.0
6,140880.0
7,247906.0
8,91667.0
9,288528.0
10,104106.0
11,320672.0
12,123031.0
13,125828.0
14,125113.0
15,456252.0
16,178045.0
17,713583.0
18,505937.0
19,771298.0
20,267139.0
21,269491.0
22,527058.0
23,246543.0
24,436973.0
25,811713.0
26,295322.0
27,283075.0
28,507123.0
29,796576.0
30,487962.0
31,937345.0
32,449983.0
33,1015410.0
34,533992.0
35,955156.0
36,298730.0
37,1009520.0
38,514003.0
39,963705.0
40,460912.0
41,984125.0
42,581689.0
43,1032420.0
44,565412.0
45,995915.0
46,552944.0
47,973223.0
48,406547.0
49,968180.0
50,551451.0
51,980926.0
52,540662.0
53,414318.0
54,513244.0
55,962385.0
56,385725.0
57,985870.0
58,503531.0
59,993033.0
60,514195.0
61,934594.0
62,499396.0
63,859480.0
64,459218.0
65,885086.0
66,432913.0
67,340751.0
68,351441.0
69,950610.0
70,335121.0
71,814203.0
72,336427.0
73,559410.0
74,557029.0
75,556128.0
76,561184.0
77,550013.0
78,561172.0
79,506541.0
80,519673.0
81,546897.0
82,552342.0
83,515021.0
84,513480.0
85,504964.0
86,497075.0
87,351461.0
88,502010.0
89,494596.0
90,499932.0
91,475920.0
92,355632.0
93,547498.0
94,525684.0
95,332468.0
96,455507.0
97,466005.0
98,462628.0
99,447001.0
100,431948.0
101,451372.0
102,454406.0
103,460891.0
104,461234.0
105,452787.0
106,443521.0
107,435670.0
108,360699.0
109,431390.0
110,417128.0
111,348365.0
112,402736.0
113,395681.0
114,396226.0
115,380678.0
116,390185.0
117,366683.0
118,371132.0
119,367411.0
120,370273.0
121,355454.0
122,1176900.0
123,786501.0
124,1167330.0
125,789759.0
126,1302940.0
127,393444.0
128,1244260.0
129,792470.0
130,1183300.0
131,408544.0
132,435524.0
133,719884.0
134,717356.0
135,704404.0
