interval,hitsL3
0,43314.0
1,28589.0
2,64514.0
3,68385.0
4,64282.0
5,61443.0
6,65511.0
7,59633.0
8,81723.0
9,74136.0
10,76334.0
11,71568.0
12,80784.0
13,45385.0
14,88433.0
15,72771.0
16,70415.0
17,47812.0
18,38867.0
19,81983.0
20,79358.0
21,73869.0
22,63028.0
23,62969.0
24,94530.0
25,91083.0
26,89201.0
27,83296.0
28,80064.0
29,63843.0
30,99046.0
31,77603.0
32,66573.0
33,34610.0
34,57013.0
35,86727.0
36,75433.0
37,72985.0
38,58454.0
39,54723.0
40,89607.0
41,93214.0
42,88987.0
43,90938.0
44,86094.0
45,45480.0
46,94920.0
47,89342.0
48,80759.0
49,66172.0
50,34460.0
51,83854.0
52,82855.0
53,84872.0
54,71821.0
55,64407.0
56,90666.0
57,105436.0
58,96101.0
59,98587.0
60,88983.0
61,53963.0
62,105167.0
63,96802.0
64,81245.0
65,39288.0
66,44313.0
67,92422.0
68,86868.0
69,85850.0
70,64262.0
71,56497.0
72,86448.0
73,100901.0
74,94787.0
75,91403.0
76,91010.0
77,56881.0
78,88201.0
79,98787.0
80,86929.0
81,66217.0
82,38431.0
83,78357.0
84,86908.0
85,86373.0
86,74539.0
87,66891.0
88,85989.0
89,105288.0
90,94854.0
91,94177.0
92,80687.0
93,28700.0
94,38180.0
95,38116.0
96,32534.0
97,29007.0
98,17979.0
99,16175.0
100,32408.0
101,29776.0
102,27856.0
103,27528.0
104,31794.0
105,32962.0
106,31873.0
107,27755.0
108,30724.0
109,24475.0
110,23971.0
111,25650.0
112,39991.0
113,23060.0
114,31168.0
115,38783.0
