interval,hitsL3
0,32815.0
1,12709.0
2,41741.0
3,52668.0
4,55912.0
5,46322.0
6,21635.0
7,26275.0
8,57179.0
9,57913.0
10,57195.0
11,51307.0
12,37210.0
13,38824.0
14,67313.0
15,63592.0
16,61265.0
17,29916.0
18,18322.0
19,55362.0
20,54441.0
21,52674.0
22,24806.0
23,24534.0
24,59286.0
25,61662.0
26,61612.0
27,54669.0
28,41285.0
29,48494.0
30,72582.0
31,61862.0
32,53373.0
33,14688.0
34,33886.0
35,53862.0
36,50761.0
37,47651.0
38,20923.0
39,21661.0
40,46213.0
41,59309.0
42,51227.0
43,53090.0
44,38151.0
45,34184.0
46,57725.0
47,63728.0
48,59044.0
49,46476.0
50,13141.0
51,45917.0
52,51914.0
53,52624.0
54,38368.0
55,23384.0
56,41350.0
57,63601.0
58,56715.0
59,59910.0
60,44837.0
61,38118.0
62,71842.0
63,68715.0
64,65890.0
65,25045.0
66,15626.0
67,53842.0
68,53229.0
69,57901.0
70,30257.0
71,22515.0
72,38264.0
73,58133.0
74,56760.0
75,60405.0
76,45918.0
77,38665.0
78,49098.0
79,68236.0
80,59785.0
81,53641.0
82,17048.0
83,35970.0
84,58042.0
85,56949.0
86,41273.0
87,22497.0
88,36828.0
89,65472.0
90,60681.0
91,64485.0
92,47416.0
93,41357.0
94,65533.0
95,66938.0
96,69016.0
97,29970.0
98,13942.0
99,48172.0
100,51153.0
101,55074.0
102,40593.0
103,19988.0
104,28249.0
105,56156.0
106,51506.0
107,57956.0
108,48335.0
109,37124.0
110,41764.0
111,65670.0
