interval,hitsperOccupL3(KB)
0,29.574789325842698
1,215.14727011494253
2,164.81442307692308
3,477.9579326923077
4,221.91264204545453
5,166.73397435897436
6,235.8961267605634
7,4085.34375
8,243.95535714285714
9,162.85438144329896
10,141.99761904761905
11,79.3182645631068
12,243.6653343023256
13,268.8799342105263
14,212.61430921052633
15,70.54284793814433
16,276.0049342105263
17,183.92261904761904
18,264.44597457627117
19,101.48740671641791
20,201.97861842105263
21,317.3010752688172
22,249.60205078125
23,123.65738636363636
24,163.81342821782178
25,432.81634615384615
26,426.5748546511628
27,107.66722972972973
28,107.61951013513513
29,315.1016447368421
30,295.25808189655174
31,172.1798007246377
32,187.79723837209303
33,476.71957236842104
34,592.5551861702128
35,326.8899739583333
36,240.948125
37,827.93125
38,793.095643939394
39,436.9675245098039
40,255.64112903225808
41,407.04202586206895
42,188.3693181818182
43,990.5877403846154
44,391.7702205882353
45,871.8671875
46,328.1446759259259
47,inf
48,723.1314655172414
49,1656.7708333333333
50,419.8453947368421
51,526.105
52,711.2109375
53,908.270474137931
54,1649.0568181818182
55,840.8325892857143
56,509.7055921052632
57,2721.61875
58,2254.3515625
59,272.72106481481484
60,735.625
61,1037.9010416666667
62,2767.378472222222
63,1839.08203125
64,909.9927884615385
65,371.0885416666667
66,984.53125
67,1883.7067307692307
68,442.9107142857143
69,1101.7239583333333
70,698.8136574074074
71,902.2367788461538
72,1694.971590909091
73,391.22115384615387
74,354.01375
75,1631.7113970588234
76,1251.4315476190477
77,699.3823529411765
78,681.720703125
79,523.8470394736842
80,1568.9027777777778
81,1122.90625
82,501.92763157894734
83,1627.0833333333333
84,632.5516304347826
85,1263.8697916666667
86,563.345
87,499.40024038461536
88,717.7730263157895
89,3622.7678571428573
90,1012.96875
91,2434.095394736842
92,inf
93,1258.4203125
94,1013.8004032258065
95,2062.1428571428573
96,363.8482142857143
97,1978.2838541666667
98,1650.2666666666667
99,3441.15625
100,1227.4300595238096
101,1145.9184782608695
102,1934.734375
103,5268.090277777777
104,3597.556818181818
105,7063.385416666667
106,2326.495535714286
107,1702.7272727272727
108,2590.4296875
109,2238.966346153846
110,1660.6907894736842
111,3038.972222222222
112,1339.859375
113,836.171875
114,584.5703125
115,1450.99375
116,2607.3125
117,1097.0234375
118,539.2926136363636
119,1369.0625
120,1146.453125
121,1931.765625
122,1754.4107142857142
123,844.753125
124,2168.18125
125,6898.5625
126,2774.4270833333335
127,626.6547619047619
128,982.0753676470588
129,1349.7830882352941
130,1430.15625
131,5289.6875
132,670.6927083333334
133,1080.821875
134,675.41015625
135,2954.65625
136,743.474609375
137,688.4182692307693
138,866.9308035714286
139,806.4879807692307
140,3038.940625
141,1165.9095394736842
142,881.2213541666666
143,1513.8203125
144,968.2421875
145,1237.9048913043478
146,756.52375
147,898.1958333333333
148,962.7645833333333
149,11857.96875
150,1745.0822368421052
151,2772.9166666666665
152,inf
153,1686.860576923077
154,5777.326388888889
155,1758.8020833333333
156,5478.705357142857
157,8081.239583333333
158,1918.2670454545455
159,3546.846590909091
160,4845.555555555556
161,912.3653846153846
162,491.70535714285717
163,1528.2045454545455
164,1927.763392857143
165,1022.5456730769231
166,2609.0073529411766
167,990.0340909090909
168,2815.3194444444443
169,1454.3216911764705
170,2499.4736842105262
171,1248.7152777777778
172,3713.941964285714
173,2376.5833333333335
174,963.80078125
175,541.5667613636364
176,853.453125
177,2791.73125
178,3050.1041666666665
179,864.6964285714286
