interval,hitsperOccupL3(KB)
0,161.71875
1,27.65
2,22.15
3,11.804166666666667
4,30.385416666666668
5,33.4375
6,106.375
7,18.92013888888889
8,22.2
9,113.8125
10,10.774305555555555
11,33.53125
12,55.265625
13,33.70625
14,24.489583333333332
15,493.4375
16,54.375
17,53.28125
18,497.86875
19,638.8190104166666
20,906.2176724137931
21,774.0703125
22,589.0234375
23,587.1910511363636
24,831.07375
25,496.63671875
26,477.3098958333333
27,372.72732843137254
28,441.7439024390244
29,394.1228693181818
30,371.0060307017544
31,346.3377976190476
32,658.8689236111111
33,311.9330357142857
34,425.38786764705884
35,357.7505896226415
36,517.0
37,659.49609375
38,497.06453804347825
39,642.2354910714286
40,382.4630102040816
41,362.62731481481484
42,546.37421875
43,389.3287037037037
44,274.5375744047619
45,263.04910714285717
46,406.2077546296296
47,409.3350409836066
48,347.2233455882353
49,299.22251506024094
50,382.90826612903226
51,251.07142857142858
52,256.4584375
53,204.1505681818182
54,299.1508333333333
55,189.13230846774192
56,261.42105263157896
57,304.15300324675326
58,276.6246527777778
59,322.8661858974359
60,534.3267045454545
61,283.6242816091954
62,230.82279829545453
63,231.2554976851852
64,281.11686643835617
65,357.2274816176471
66,347.6498940677966
67,190.3987603305785
68,333.66339285714287
69,297.69125
70,358.18353174603175
71,358.37680288461536
72,368.5671875
73,449.4039634146341
74,202.83948863636363
75,54.53819444444444
76,33.672554347826086
77,53.38577586206897
78,33.380319148936174
79,41.917410714285715
80,50.441071428571426
81,5799.9609375
82,26910.653409090908
83,21809.48275862069
84,34810.69078947369
85,67572.1875
86,37745.65972222222
87,41361.580882352944
88,65104.545454545456
89,39982.291666666664
90,51417.1875
91,56724.75961538462
92,40573.09027777778
93,39000.65789473684
94,29349.03846153846
95,48058.3984375
96,8365.006868131868
97,24.167729591836736
98,20.47440476190476
99,19.9079092920354
100,845.0462962962963
101,395.03472222222223
102,238.06879496402877
103,411.8318965517241
104,427.42732558139534
105,372.1907552083333
106,301.26358695652175
107,310.3466796875
108,472.2526041666667
109,341.313164893617
110,388.3025568181818
111,264.27505387931035
112,400.83116319444446
113,271.90020161290323
114,352.23219476744185
115,429.86946202531647
116,339.6893825301205
117,313.67883663366337
118,391.75214041095893
119,246.56007751937983
120,234.46808510638297
121,267.3023504273504
122,288.6822916666667
123,242.75
124,336.6599770642202
125,258.94369834710744
126,268.10591603053433
127,206.90104166666666
128,232.2290348101266
129,257.3958333333333
130,195.99826388888889
131,215.57432432432432
132,224.4815340909091
133,220.31716417910448
134,302.8080985915493
135,213.1958762886598
136,158.95585317460316
137,201.0913212435233
138,180.31119246861925
139,181.725
140,186.9845971563981
141,219.3508064516129
142,170.1075
143,219.73790322580646
144,157.3927436440678
145,47.30894183168317
146,24.554474043715846
147,38.82239583333333
148,15.03125
149,23.569839015151516
150,14.527948943661972
151,336.8423913043478
152,208.321875
153,428.24116492146595
154,288.3046875
155,202.86
156,263.672263681592
157,228.15328054298644
158,257.8255208333333
159,175.582805907173
160,179.50946215139442
161,162.53161478599222
162,256.5869140625
163,281.36886503067484
164,241.72426470588235
165,251.05662983425415
166,245.10174418604652
167,398.3070652173913
168,208.1146978021978
169,221.95761494252875
170,207.01612903225808
171,231.4501404494382
172,252.65
173,204.3683155080214
174,254.36242816091954
175,256.59722222222223
176,228.91118421052633
177,215.72244623655914
178,202.6276178010471
179,222.8703125
