interval,IPC
0,1.7639599999999998
1,1.9121299999999999
2,1.62627
3,1.85143
4,1.2878100000000001
5,1.3852
6,1.3194299999999999
7,1.14609
8,1.12265
9,0.9915299999999999
10,1.3921299999999999
11,1.0650600000000001
12,1.15129
13,0.918459
14,1.48025
15,1.46062
16,1.39185
17,1.49041
18,1.2760799999999999
19,1.32125
20,1.4400700000000002
21,0.999692
22,0.961325
23,1.05139
24,1.0206600000000001
25,1.1171200000000001
26,1.06999
27,0.9071889999999999
28,1.2044700000000002
29,1.15873
30,1.47917
31,0.995767
32,1.11737
33,0.994506
34,0.937119
35,1.13087
36,1.0170700000000001
37,1.18331
38,1.0653700000000002
39,1.25757
40,1.30649
41,1.0731
42,1.17268
43,1.0345600000000001
44,1.0863399999999999
45,0.961475
46,0.975398
47,1.16783
48,1.07444
49,1.49247
50,1.20594
51,1.14721
52,1.01183
53,1.12656
54,1.05912
55,0.9574889999999999
56,1.14294
57,0.944011
58,1.1427100000000001
59,1.27999
60,1.48664
61,0.9999309999999999
62,0.9432450000000001
63,1.11513
64,1.01325
65,1.22886
66,0.9950600000000001
67,0.933997
68,1.0973899999999999
69,1.19839
70,1.62258
71,1.1357700000000002
72,1.06625
73,0.962385
74,0.942723
75,1.17057
76,1.03078
77,1.20508
78,0.93985
79,1.33819
80,1.30429
81,1.23186
82,1.1219299999999999
83,0.995182
84,1.08594
85,0.942466
86,1.11153
87,1.12678
88,1.0006
89,1.35645
90,1.25946
91,1.23958
92,1.03766
93,1.1662299999999999
94,1.05955
95,0.926766
96,1.1726
97,0.958448
98,1.24721
99,1.23221
100,1.44769
101,1.21586
102,0.9891719999999999
103,1.20023
104,1.10545
105,1.26698
106,0.959152
107,1.0612
108,1.06071
109,1.26169
110,1.58394
111,1.25796
112,1.1127799999999999
113,0.9871479999999999
114,1.01139
115,1.18716
116,1.0280200000000002
117,1.18715
118,0.947469
119,1.08265
120,1.5451700000000002
121,1.38228
122,1.26233
123,0.923683
124,1.09504
125,1.0116
126,1.05397
127,1.26033
128,1.05992
129,1.24884
130,1.26556
131,1.4125299999999998
132,1.0972600000000001
133,1.03532
134,1.18939
135,0.966144
136,1.07534
137,1.09051
138,1.0472299999999999
139,1.34996
140,1.2111
141,1.43689
142,0.9314690000000001
143,1.15147
144,1.07725
145,1.03783
146,1.07549
147,0.991291
148,0.997683
149,1.2278
150,1.35112
151,1.46946
152,0.9281299999999999
153,1.08974
154,0.98915
155,1.3683100000000001
156,1.24793
157,0.9964620000000001
158,1.0501
159,1.3602100000000001
160,1.49014
161,1.64875
162,1.8110400000000002
163,1.56518
164,1.69182
165,1.36701
166,1.36042
167,1.19897
168,1.1936
169,1.00324
170,1.1884
