interval,hitsperOccupL3(KB)
0,16.849609375
1,14.15625
2,38.1328125
3,14.447916666666666
4,43.135416666666664
5,20.58984375
6,17.723958333333332
7,34.525
8,169.09375
9,33.50625
10,19.70486111111111
11,109.40625
12,13.06640625
13,12.162946428571429
14,17.778125
15,19.692708333333332
16,224.90625
17,54.59375
18,30.65
19,694.0056818181819
20,675.6889534883721
21,956.455078125
22,1121.1822916666667
23,786.4884868421053
24,1297.61875
25,505.7540760869565
26,785.3489583333334
27,241.6349431818182
28,606.0514705882352
29,481.4485294117647
30,966.7048611111111
31,267.4945652173913
32,308.02375
33,171.35129310344828
34,434.5140625
35,344.055
36,402.89473684210526
37,554.078125
38,97.63271103896103
39,433.68526785714283
40,478.4035326086956
41,572.056640625
42,844.03125
43,291.5597826086956
44,650.7326388888889
45,291.20659722222223
46,293.1796875
47,527.8503289473684
48,238.2953629032258
49,702.0952380952381
50,483.5181451612903
51,520.9541666666667
52,244.94212962962962
53,270.73891129032256
54,431.6328125
55,367.716796875
56,839.09375
57,367.51838235294116
58,265.58046875
59,559.1713362068965
60,580.3087121212121
61,713.9799107142857
62,873.853125
63,921.8581730769231
64,454.5285326086956
65,420.72727272727275
66,214.16954787234042
67,262.57007575757575
68,1303.4765625
69,476.08223684210526
70,589.8715277777778
71,547.7203125
72,739.7019230769231
73,858.4330357142857
74,264.91625
75,413.1080729166667
76,750.253125
77,691.7610294117648
78,267.853125
79,527.4466145833334
80,356.2291666666667
81,639.53125
82,1232.2734375
83,306.47017045454544
84,699.0078125
85,340.75694444444446
86,378.6661931818182
87,762.7678571428571
88,395.9644886363636
89,983.3216911764706
90,574.3967391304348
91,1480.8402777777778
92,337.88950892857144
93,608.015625
94,562.2878289473684
95,273.693287037037
96,335.9266304347826
97,56.216145833333336
98,52.328125
99,50.09970238095238
100,47.941964285714285
101,73.90625
102,43.96484375
103,118.1
104,62.1796875
105,6060.9921875
106,40733.59375
107,114053.75
108,299334.375
109,155507.03125
110,93305.80357142857
111,91284.375
112,64584.375
113,212771.875
114,128368.75
115,133728.75
116,336157.8125
117,83955.078125
118,72836.45833333333
119,98669.19642857143
120,243370.83333333334
121,178328.90625
122,8846.030405405405
123,45.05587121212121
124,46.005067567567565
125,48.483901515151516
126,437.62375
127,1193.4117647058824
128,738.2242647058823
129,659.8625
130,1365.6354166666667
131,648.5212053571429
132,609.7760416666666
133,1048.940625
134,531.1970108695652
135,350.75815217391306
136,409.67391304347825
137,1327.8705357142858
138,310.7978515625
139,596.4166666666666
140,275.14903846153845
141,728.23046875
142,426.2734375
143,316.4430147058824
144,332.83035714285717
145,486.86805555555554
146,535.5015625
147,327.7907608695652
148,217.85892857142858
149,625.0625
150,408.1702302631579
151,2012.6944444444443
152,324.14732142857144
153,364.39625
154,409.51215277777777
155,666.6100543478261
156,620.2944078947369
157,551.49375
158,379.5568181818182
159,686.184375
160,953.0659722222222
161,335.3115384615385
162,744.6165540540541
163,363.64125
164,655.4337121212121
165,561.2534722222222
166,374.53038194444446
167,469.80625
168,670.525390625
169,668.8798076923077
170,398.47629310344826
171,547.0257352941177
172,557.0524553571429
173,681.9416666666667
174,525.546875
175,693.4045138888889
176,414.478515625
177,1048.829861111111
178,381.7783203125
179,809.202302631579
180,502.5099431818182
181,427.56169871794873
182,1095.65625
183,559.5334821428571
184,593.40234375
185,339.0369318181818
186,427.0299479166667
187,499.140625
188,263.3958333333333
189,1220.045138888889
190,374.98875
191,1078.3255208333333
192,3554.5625
193,431.93625
194,486.8355263157895
195,38.56392045454545
196,75.45673076923077
197,53.66796875
198,69.88602941176471
199,61.037109375
200,42.90767045454545
201,67.8875
202,47.494419642857146
203,331.4575
204,794.2788461538462
205,1484.0089285714287
206,731.4411764705883
207,590.755
208,475.09125
209,466.7986111111111
210,703.4402173913044
211,727.9046875
212,851.5539772727273
213,708.9196428571429
214,560.2276785714286
215,754.9604166666667
216,320.1212121212121
217,703.2552083333334
218,342.77916666666664
219,301.4119318181818
220,827.6610576923077
221,477.728125
222,1821.4772727272727
223,714.7104166666667
224,753.09765625
225,1103.9479166666667
226,1076.2379807692307
227,719.4910714285714
228,591.0378289473684
229,553.6649305555555
230,634.0
231,472.26428571428573
232,667.8138020833334
233,695.6116071428571
234,396.209375
235,288.9900568181818
236,455.42261904761904
237,370.880859375
238,1108.8402777777778
239,184.25367647058823
240,397.34375
241,431.51766304347825
242,317.08049242424244
243,871.7368421052631
244,395.1859375
245,394.63651315789474
246,737.3579545454545
247,312.30902777777777
248,361.2829861111111
249,284.6575520833333
250,496.4319852941176
251,336.28782894736844
