interval,hitsperOccupL3(KB)
0,1633.7276785714287
1,542.1875
2,348.0271946564886
3,864.8899647887324
4,792.0923913043479
5,647.796052631579
6,634.5814732142857
7,609.499007936508
8,559.5716911764706
9,335.0242718446602
10,407.3419540229885
11,328.759765625
12,493.26127049180326
13,412.67809139784947
14,463.0050872093023
15,455.7904411764706
16,607.7213541666666
17,451.2995426829268
18,633.5222457627119
19,409.671556122449
20,311.5021875
21,548.1506147540983
22,1147.83125
23,690.1083333333333
24,461.5793918918919
25,681.3671875
26,503.2907196969697
27,476.8489583333333
28,1155.7720588235295
29,452.1793831168831
30,1196.85546875
31,342.03727409638554
32,345.132087628866
33,466.04910714285717
34,400.3350903614458
35,1044.6969696969697
36,422.4201388888889
37,488.6574074074074
38,561.5057870370371
39,541.0507246376811
40,1282.1505681818182
41,602.588619402985
42,524.644375
43,498.984375
44,538.6391129032259
45,502.2162828947368
46,597.5551470588235
47,698.8815789473684
48,368.50274725274727
49,550.7440476190476
50,437.1227134146341
51,443.23180379746833
52,329.1354166666667
53,554.4681818181818
54,469.3032094594595
55,840.6527777777778
56,486.4425872093023
57,356.8805309734513
58,470.0568181818182
59,395.2184139784946
60,368.57271634615387
61,499.94352409638554
62,235.58845029239765
63,489.38844086021504
64,468.0151098901099
65,408.5162601626016
66,349.287037037037
67,293.4669502617801
68,432.9892418032787
69,315.7913961038961
70,398.5844370860927
71,264.3718112244898
72,314.3828914141414
73,344.39473684210526
74,337.00892857142856
75,356.1953125
76,285.57218309859155
77,315.1140625
78,340.16747237569064
79,272.9115099009901
80,326.9251179245283
81,375.32395287958116
82,302.33048349056605
83,335.74936224489795
84,276.60067873303166
85,442.18971631205676
86,344.46157094594594
87,288.90625
88,337.3464912280702
89,422.68092105263156
90,357.7931034482759
91,286.67349726775956
92,311.3260135135135
93,322.17817164179104
94,288.1924559471366
95,404.68926553672316
96,268.16194581280786
97,296.96927374301674
98,386.475
99,339.93656015037595
100,461.58088235294116
101,398.0013736263736
102,575.492294520548
103,513.5590277777778
104,785.21484375
105,485.57127192982455
106,406.51171875
107,514.7746010638298
108,411.6418269230769
109,475.1547619047619
110,358.5708333333333
111,1153.421875
112,376.1354166666667
113,2240.8958333333335
114,1224.55625
115,615.0555555555555
116,631.74375
117,377.59375
118,861.1875
119,558.578125
120,361.9609375
121,790.6171875
122,281.13125
123,inf
124,608.2901785714286
125,409.8203125
126,1388.8020833333333
127,inf
128,inf
129,306.83125
130,1385.984375
131,inf
132,1201.015625
133,2710.03125
134,292.07589285714283
135,239.59134615384616
136,7081.0
137,845.1979166666666
138,842.8333333333334
139,1817.5
140,2855.0
141,336.984375
142,inf
143,inf
144,881.8229166666666
145,418.234375
146,331.75223214285717
147,613.7901785714286
148,inf
149,573.29375
150,590.475
151,2283.125
152,930.6875
153,1009.65625
154,4087.34375
155,5010.09375
156,472.44140625
157,618.1484375
158,1663.35625
159,211.63980263157896
160,4085.84375
161,530.8359375
162,752.74375
163,298.69921875
164,582.0208333333334
165,633.2578125
166,957.3125
167,2838.5625
168,558.14375
169,inf
170,1153.078125
171,540.725
172,2585.8125
173,407.440625
174,861.640625
175,995.3515625
176,435.8638392857143
177,inf
178,353.4036458333333
179,764.4652777777778
180,425.2692307692308
181,721.75
182,905.39375
183,1614.9625
184,431.6919642857143
185,170.54583333333332
186,2911.4375
187,245.375
188,2835.484375
189,1976.625
190,934.984375
191,492.059375
192,1234.34375
193,569.3854166666666
194,1042.265625
195,499.5375
196,514.7276785714286
197,1014.8854166666666
198,2165.234375
199,1251.90625
200,606.1354166666666
201,589.4010416666666
202,201.82552083333334
203,841.4140625
204,452.75347222222223
205,625.18125
206,378.296875
207,515.3645833333334
208,588.2890625
209,648.0401785714286
210,892.6
211,inf
212,531.33125
213,2836.875
214,844.4921875
215,591.3671875
216,618.640625
217,669.79375
218,1019.875
219,320.3806818181818
220,321.5703125
221,562.2678571428571
222,777.26875
223,585.3984375
224,1268.75
225,inf
226,851.4270833333334
227,1490.03125
228,280.3888888888889
229,228.61328125
230,1330.609375
231,760.5885416666666
232,1713.2890625
233,277.6701388888889
234,563.0401785714286
235,3154.71875
236,inf
237,inf
238,294.4567307692308
239,964.925
240,367.3269230769231
241,674.1875
242,364.11607142857144
243,497.53515625
244,287.5390625
245,inf
246,973.703125
247,2709.4375
248,433.4270833333333
249,683.0078125
250,468.05859375
251,880.6354166666666
252,635.1071428571429
253,1921.234375
254,281.49278846153845
255,300.13194444444446
256,194.97058823529412
257,274.12740384615387
258,692.3080357142857
259,407.8918269230769
260,439.73579545454544
261,679.484375
262,366.1830357142857
263,inf
264,443.0729166666667
