interval,hitsL3
0,54116.0
1,55377.0
2,1054460.0
3,833113.0
4,46180.0
5,1020350.0
6,1484920.0
7,149161.0
8,437122.0
9,1532740.0
10,1478540.0
11,310434.0
12,683883.0
13,5611850.0
14,1478100.0
15,850924.0
16,46358.0
17,1025300.0
18,2735750.0
19,2890770.0
20,4541230.0
21,315416.0
22,2592300.0
23,5631830.0
24,1498650.0
25,1493910.0
26,975088.0
27,41405.0
28,850170.0
29,1419940.0
30,1432460.0
31,1441320.0
32,750935.0
33,400875.0
34,974320.0
35,1394990.0
36,1381310.0
37,1378960.0
38,1307530.0
39,22671.0
40,429981.0
41,4399970.0
42,4509870.0
43,4383970.0
44,1376990.0
45,1379590.0
46,136676.0
47,277943.0
48,1326100.0
49,1380060.0
50,1402550.0
51,1402950.0
52,1371390.0
53,1062920.0
54,32954.0
55,779979.0
56,1375650.0
57,1386830.0
58,1386860.0
59,1376240.0
60,1427490.0
61,1118650.0
62,29278.0
63,585879.0
64,1441170.0
65,3235520.0
66,1378480.0
67,1384590.0
68,1372620.0
69,1379100.0
70,560104.0
71,51534.0
72,1099410.0
73,1363990.0
74,1370300.0
75,3674220.0
76,1362560.0
77,1367960.0
78,1367190.0
79,513298.0
80,55845.0
81,2244750.0
82,1369490.0
83,1376380.0
84,1399240.0
85,3418710.0
86,1366220.0
87,1378740.0
88,1355830.0
89,436817.0
90,64071.0
91,2374420.0
92,1402610.0
93,1384190.0
94,1388040.0
95,3190790.0
96,1420380.0
97,1377920.0
98,1376140.0
99,2927430.0
100,544775.0
101,511872.0
102,1291940.0
103,1373190.0
104,1403220.0
105,1503490.0
