interval,hitsL3
0,1638120.0
1,1908140.0
2,1928360.0
3,1933530.0
4,2129160.0
5,1964240.0
6,2035020.0
7,2350760.0
8,1850820.0
9,2331300.0
10,1860150.0
11,1930400.0
12,2037220.0
13,1777920.0
14,2100690.0
15,2066300.0
16,2001190.0
17,1969960.0
18,1804880.0
19,2119920.0
20,1822370.0
21,1977230.0
22,1959640.0
23,1826190.0
24,2114310.0
25,2150300.0
26,2057880.0
27,2255770.0
28,1932390.0
29,2328450.0
30,1896520.0
31,2188790.0
32,2042830.0
33,2177200.0
34,2174100.0
35,2218160.0
36,2026020.0
37,2149080.0
38,1900360.0
39,2338770.0
40,1924900.0
41,2138870.0
42,2061900.0
43,2138870.0
44,2314180.0
45,2174900.0
46,2152750.0
47,2282580.0
48,1888150.0
49,2322360.0
50,2172360.0
51,2139370.0
52,2282800.0
53,1925850.0
54,2149470.0
55,2153650.0
56,2005860.0
57,2253890.0
58,2146200.0
59,2253060.0
60,2209260.0
61,2128940.0
62,2072280.0
63,2122980.0
64,2080260.0
65,2014420.0
66,1972310.0
67,2111400.0
68,1976430.0
69,2047950.0
70,2054960.0
71,1963330.0
72,2208720.0
73,1955830.0
74,2030360.0
75,2077060.0
76,1977530.0
77,2081800.0
78,2022900.0
79,1983000.0
