interval,IPC
0,2.8458099999999997
1,2.06263
2,1.86218
3,2.54148
4,1.7067900000000003
5,1.58077
6,1.72111
7,1.42649
8,1.6505
9,1.3278299999999998
10,1.6823099999999998
11,1.5808799999999998
12,1.36181
13,1.4782
14,1.6948
15,1.8900700000000001
16,1.7000400000000002
17,1.90431
18,1.57466
19,1.86959
20,1.73755
21,1.48989
22,1.4504700000000001
23,1.38957
24,1.53325
25,1.42306
26,1.62994
27,1.36867
28,1.72317
29,1.63269
30,1.8797
31,1.46281
32,1.36714
33,1.5740100000000001
34,1.42246
35,1.6680400000000002
36,1.495
37,1.38287
38,1.6622599999999998
39,1.54742
40,1.8923400000000001
41,1.44157
42,1.5950799999999998
43,1.35611
44,1.40011
45,1.53703
46,1.41242
47,1.6311799999999999
48,1.42592
49,1.77237
50,1.6651200000000002
51,1.54303
52,1.57397
53,1.40255
54,1.60405
55,1.43686
56,1.6709200000000002
57,1.48837
58,1.4246299999999998
59,1.79139
60,1.66385
61,1.9399
62,1.46892
63,1.56774
64,1.37947
65,1.58056
66,1.33785
67,1.50619
68,1.5795299999999999
69,1.59441
70,1.8108400000000002
71,1.57187
72,1.60995
73,1.40598
74,1.4026399999999999
75,1.5161
76,1.42616
77,1.57523
78,1.42388
79,1.75445
80,1.75688
81,1.5703
82,1.3898
83,1.37655
84,1.55125
85,1.4398799999999998
86,1.3245
87,1.59399
88,1.31149
89,1.7246299999999999
90,1.6588200000000002
91,1.75793
92,1.42315
93,1.40886
94,1.50171
95,1.4135
96,1.6414799999999998
97,1.4461600000000001
98,1.51538
99,1.6615799999999998
100,1.7447700000000002
101,1.59215
102,1.36198
103,1.56041
104,1.36766
105,1.5465799999999998
106,1.4314200000000001
107,1.40236
108,1.48173
109,1.61486
110,1.8328099999999998
111,1.41203
112,1.50092
113,1.49328
114,1.39052
115,1.51538
116,1.38761
117,1.54898
118,1.44097
119,1.5079
120,1.87295
121,1.58837
122,1.60943
123,1.52
124,1.59513
125,1.43884
126,1.30619
127,1.51206
128,1.43935
129,1.58405
130,1.48856
131,1.6847
132,1.5220200000000002
133,1.3524
134,1.57481
135,1.44787
136,1.50793
137,1.52098
138,1.33124
139,1.61701
140,1.50742
141,1.85273
142,1.6603599999999998
143,1.61982
144,1.38354
145,1.39659
146,1.6990299999999998
147,1.39325
148,1.6134
149,1.38383
150,1.53893
151,1.60624
152,1.65887
