interval,IPC
0,1.66162
1,1.40868
2,2.2938400000000003
3,2.78962
4,2.05908
5,1.8383
6,1.36297
7,2.84658
8,2.94663
9,2.80777
10,2.9592400000000003
11,2.99268
12,2.8209400000000002
13,1.4121299999999999
14,2.20677
15,2.6385400000000003
16,1.93851
17,1.9460099999999998
18,1.9388900000000002
19,1.9433
20,1.94077
21,1.9223299999999999
22,1.93782
23,1.93439
24,1.93095
25,1.93987
26,1.9126400000000001
27,1.9297900000000001
28,1.94422
29,1.94908
30,1.94672
31,1.9163299999999999
32,1.92907
33,1.9267
34,1.91083
35,1.9285900000000002
36,1.9233799999999999
37,1.9131200000000002
38,1.92848
39,1.94717
40,1.94511
41,1.91445
42,1.92632
43,1.47613
44,1.6853099999999999
45,2.87545
46,2.812
47,2.8660099999999997
48,2.8581
49,3.01804
50,2.8511599999999997
51,1.08407
52,2.56402
53,2.40121
54,1.93592
55,1.93782
56,1.9372599999999998
57,1.9236900000000001
58,1.9159099999999998
59,1.94468
60,1.9561400000000002
61,1.9528299999999998
62,1.9194900000000001
63,1.9246599999999998
64,1.9215900000000001
65,1.94208
66,1.93193
67,1.9272599999999998
68,1.92272
69,1.92675
70,1.9438
71,1.9457
72,1.9254799999999999
73,1.91484
74,1.91403
75,1.92095
76,1.93573
77,1.94025
78,1.91566
79,1.93032
80,1.94438
81,1.4945700000000002
82,2.14066
83,2.858
84,2.9237599999999997
85,2.87907
86,2.86007
87,2.94711
88,2.21539
89,1.05092
90,2.89914
91,2.2944400000000003
92,1.91622
93,1.9253
94,1.9213200000000001
95,1.9126299999999998
96,1.92936
97,1.9293799999999999
98,1.9408400000000001
99,1.95173
100,1.9422599999999999
101,1.9313
102,1.91935
103,1.93491
104,1.9295799999999999
105,1.93787
106,1.9454099999999999
107,1.93639
108,1.9417799999999998
109,1.94618
110,1.9545400000000002
111,1.9121400000000002
112,1.91705
113,1.92805
114,1.92904
115,1.9431900000000002
116,1.91913
117,1.93439
118,1.9566400000000002
119,1.2892
