interval,hitsL3
0,52148.0
1,150153.0
2,191159.0
3,192080.0
4,205769.0
5,469988.0
6,473751.0
7,848511.0
8,385594.0
9,603180.0
10,1410640.0
11,233478.0
12,243190.0
13,197112.0
14,1452040.0
15,198459.0
16,1389980.0
17,353897.0
18,639264.0
19,545529.0
20,385294.0
21,653603.0
22,816264.0
23,289348.0
24,620576.0
25,249376.0
26,586774.0
27,787942.0
28,351216.0
29,200007.0
30,577665.0
31,341472.0
32,625969.0
33,411443.0
34,388072.0
35,425592.0
36,156982.0
37,599442.0
38,785430.0
39,387816.0
40,793208.0
41,655052.0
42,856972.0
43,283982.0
44,469552.0
45,871977.0
46,915332.0
47,547401.0
48,1376180.0
49,215967.0
50,251481.0
51,1219100.0
52,333096.0
53,776739.0
54,675251.0
55,510017.0
56,525385.0
57,431481.0
58,655442.0
59,1078710.0
60,1606600.0
61,1758720.0
62,412963.0
63,695765.0
64,263145.0
65,640713.0
66,1216830.0
67,642934.0
68,906164.0
69,875386.0
70,316111.0
71,262995.0
72,684116.0
73,1493660.0
74,822636.0
75,521153.0
76,1260420.0
77,1692960.0
78,1348900.0
79,1168730.0
80,478903.0
81,1294630.0
82,752393.0
83,1924730.0
84,1734380.0
85,1560460.0
86,750561.0
87,664996.0
88,791110.0
89,927155.0
90,732938.0
91,1369270.0
92,258405.0
93,311101.0
94,904209.0
95,898475.0
96,1209660.0
97,459958.0
98,881923.0
99,445455.0
100,285643.0
101,845206.0
102,336088.0
103,1028820.0
104,909250.0
105,757232.0
106,823466.0
