interval,IPC
0,0.886265
1,0.715449
2,0.711202
3,0.6935600000000001
4,0.707771
5,0.699542
6,0.676262
7,0.667209
8,0.68011
9,0.688652
10,0.684725
11,0.7069979999999999
12,0.711251
13,0.713248
14,0.710087
15,0.709397
16,0.695419
17,0.695096
18,0.688095
19,0.666014
20,0.693067
21,0.694055
22,0.7044100000000001
23,0.6947979999999999
24,0.689864
25,0.6965319999999999
26,0.689595
27,0.687925
28,0.692937
29,0.711179
30,0.690312
31,0.690308
32,0.690879
33,0.6905600000000001
34,0.692738
35,0.6715899999999999
36,0.637269
37,0.688017
38,0.677542
39,0.665304
40,0.677846
41,0.681559
42,0.689606
43,0.704345
44,0.686288
45,0.685837
46,0.681557
47,0.684674
48,0.682305
49,0.698427
50,0.7052510000000001
51,0.6743140000000001
52,0.679075
53,0.688129
54,0.685751
55,0.687814
56,0.691159
57,0.7049310000000001
58,0.690208
59,0.6886260000000001
60,0.6909029999999999
61,0.68238
62,0.6861729999999999
63,0.69594
64,0.704094
65,0.658663
66,0.673164
67,0.675416
68,0.685114
69,0.681158
70,0.691854
71,0.7050770000000001
72,0.6897909999999999
73,0.687179
74,0.6638539999999999
75,0.676696
76,0.6672130000000001
77,0.67532
78,0.690575
79,0.677673
80,0.651129
81,0.6671520000000001
82,0.654637
83,0.678751
84,0.66275
85,0.684024
86,0.672007
87,0.6885220000000001
88,0.662555
89,0.672918
90,0.655452
91,0.667795
92,0.666325
93,0.668984
94,0.665021
95,0.6801520000000001
96,0.648987
97,0.688399
98,0.682389
99,0.685699
100,0.6990850000000001
101,0.683971
102,0.6865479999999999
103,0.67884
104,0.67505
105,0.678898
106,0.689192
107,0.714901
108,0.703117
109,0.692221
110,0.6848770000000001
111,0.682265
112,0.674357
113,0.695184
