interval,IPC
0,1.9336900000000001
1,1.9395200000000001
2,1.8525599999999998
3,1.84255
4,1.9366400000000001
5,1.80253
6,1.8923299999999998
7,1.79895
8,1.8035299999999999
9,1.9109
10,1.79093
11,1.9274799999999999
12,1.85732
13,1.8357
14,1.9602700000000002
15,1.8276700000000001
16,1.9110200000000002
17,1.8749200000000001
18,1.81896
19,1.9450900000000002
20,1.8237
21,1.90127
22,1.90865
23,1.7609400000000002
24,1.9699099999999998
25,1.83211
26,1.8853099999999998
27,1.9122299999999999
28,1.83578
29,1.9553200000000002
30,1.85782
31,1.8600299999999999
32,1.93315
33,1.8226900000000001
34,1.9105900000000002
35,1.8707799999999999
36,1.83543
37,1.95491
38,1.83135
39,1.90978
40,1.8872200000000001
41,1.82591
42,1.9459
43,1.8297700000000001
44,1.8798099999999998
45,1.8990799999999999
46,1.82525
47,1.9544700000000002
48,1.8324900000000002
49,1.85845
50,1.92733
51,1.8277700000000001
52,1.93823
53,1.85017
54,1.8434400000000002
55,1.9443400000000002
56,1.82113
57,1.91861
58,1.89015
59,1.8433099999999998
60,1.97015
61,1.8410799999999998
62,1.9059099999999998
63,1.9126400000000001
64,1.8254700000000001
65,1.96354
66,1.8459
67,1.8682
68,1.9257400000000002
69,1.82505
70,1.9354900000000002
71,1.78098
72,1.8576
73,1.9446299999999999
74,1.83719
75,1.92186
76,1.8706
77,1.81473
78,1.95113
79,1.8358
