interval,hitsL3
0,2531720.0
1,3804370.0
2,3218380.0
3,2641460.0
4,2533540.0
5,2296120.0
6,2511430.0
7,3018290.0
8,2871060.0
9,2463900.0
10,3167920.0
11,3237780.0
12,3033010.0
13,3415420.0
14,3481960.0
15,4489670.0
16,3314470.0
17,2173730.0
18,2613760.0
19,2677750.0
20,3139450.0
21,3198980.0
22,2641980.0
23,3044190.0
24,3666110.0
25,3379320.0
26,3200020.0
27,3659330.0
28,4659320.0
29,3769390.0
30,2672230.0
31,2494480.0
32,2375330.0
33,2927620.0
34,3228680.0
35,3160340.0
36,2888130.0
37,3635240.0
38,3207740.0
39,3087120.0
40,3618340.0
41,3724930.0
42,4399790.0
43,3139650.0
44,2479460.0
45,2787720.0
46,2637710.0
47,3036900.0
48,3117300.0
49,2650260.0
50,2831950.0
51,3528210.0
52,3434150.0
53,3260050.0
54,3453710.0
55,4565570.0
56,3764440.0
57,2503830.0
58,2447050.0
59,2089080.0
60,2519390.0
61,3161770.0
62,3212390.0
63,2571730.0
64,3240210.0
65,3315250.0
66,3225490.0
67,3216630.0
68,4041220.0
69,4278700.0
70,2764790.0
71,2116210.0
72,3390290.0
73,5851270.0
74,2777310.0
75,3286350.0
76,2990020.0
77,3969570.0
78,3449380.0
79,3676010.0
80,3396480.0
81,3696850.0
82,4378400.0
83,3323630.0
84,3419760.0
85,3999360.0
86,4166380.0
87,3805830.0
88,3803060.0
89,3460680.0
90,3844810.0
91,4651670.0
92,3518740.0
93,3875060.0
94,3661810.0
95,3961910.0
96,4264660.0
97,3602970.0
98,3399770.0
99,4210820.0
100,3084470.0
101,1964450.0
102,3350200.0
103,3650980.0
104,4871530.0
105,4900080.0
106,3057080.0
107,2513570.0
108,3203600.0
109,7798840.0
110,2873800.0
111,3646860.0
112,3504080.0
