interval,IPC
0,1.14695
1,1.1340000000000001
2,1.48366
3,1.2837399999999999
4,1.14412
5,1.3832
6,1.36923
7,1.24835
8,1.23389
9,1.24165
10,1.21579
11,1.5076200000000002
12,1.44515
13,1.46432
14,1.2785
15,1.26716
16,1.24243
17,1.52339
18,1.63563
19,1.61755
20,1.39067
21,1.54155
22,1.20949
23,1.17082
24,1.17067
25,1.31441
26,1.22165
27,1.46243
28,1.23662
29,1.16677
30,1.18048
31,1.14893
32,1.21024
33,1.2277
34,1.17655
35,1.13119
36,1.4378600000000001
37,1.40883
38,1.2542799999999998
39,1.35914
40,1.53252
41,1.20052
42,1.19708
43,1.2363
44,1.3308200000000001
45,1.42899
46,1.39287
47,1.29728
48,1.15914
49,1.38363
50,1.32525
51,1.25444
52,1.26229
53,1.22329
54,1.22359
55,1.15872
56,1.2093399999999999
57,1.1521299999999999
58,1.1589
59,1.19851
60,1.16593
61,1.12879
62,1.22143
63,1.29867
64,1.30091
65,1.14713
66,1.15628
67,1.15278
68,1.18446
69,1.14245
70,1.05386
71,1.04904
72,1.20618
73,1.1087799999999999
74,1.19636
75,1.22086
76,1.1709399999999999
77,1.17603
78,1.1612799999999999
79,1.16496
80,1.09732
81,1.15323
82,1.36881
83,1.6678
84,1.51509
85,1.66999
86,1.5446
87,1.3080399999999999
88,1.55302
89,1.4440899999999999
90,1.20269
91,1.3557299999999999
92,1.37725
93,1.19783
94,1.13944
95,1.24595
96,1.29881
97,1.169
98,1.14339
99,1.15764
100,1.12976
101,1.16992
102,1.33514
103,1.2149299999999998
104,1.17365
105,1.16259
106,1.14485
107,1.1231799999999998
108,1.17515
109,1.16029
110,1.46917
111,1.1270200000000001
112,1.18167
113,1.18372
114,1.1543
115,1.17724
116,1.17669
117,1.19852
