interval,hitsperOccupL3(KB)
0,3.539390756302521
1,48.667578125
2,7.636853448275862
3,3.4093237704918034
4,97.18871124031008
5,74.32319078947368
6,59.874273255813954
7,72.5015625
8,76.19314236111111
9,94.81510416666667
10,75.59645061728395
11,70.15772058823529
12,171.47702205882354
13,110.97443181818181
14,59.61233108108108
15,81.01792279411765
16,94.90432692307692
17,131.359375
18,179.6918604651163
19,216.3465073529412
20,573.78125
21,316.1661931818182
22,232.81060606060606
23,239.32451923076923
24,368.9201388888889
25,631.8046875
26,822.1041666666666
27,570.3611111111111
28,1106.201388888889
29,3648.1770833333335
30,39.677083333333336
31,644.110197368421
32,831.9553571428571
33,116.44679054054055
34,234.9953125
35,266.17763157894734
36,232.35416666666666
37,232.9025
38,603.090625
39,195.6515625
40,204.58449074074073
41,645.9791666666666
42,494.796875
43,185.98011363636363
44,183.17897727272728
45,392.9203125
46,439.0546875
47,873.71875
48,232.2528409090909
49,451.41041666666666
50,505.904296875
51,162.1216216216216
52,272.63375
53,339.6275
54,469.0922619047619
55,603.9776785714286
56,897.153125
57,594.7633928571429
58,726.8497983870968
59,110.30813953488372
60,101.0435855263158
61,161.36177884615384
62,126.92137096774194
63,157.35511363636363
64,116.41761363636364
65,272.166015625
66,181.7421875
67,90.12276785714286
68,176.16294642857142
69,192.29440789473685
70,145.44140625
71,125.57625
72,129.05397727272728
73,155.09375
74,221.93371212121212
75,137.98660714285714
76,228.87253289473685
77,176.572265625
78,145.80338541666666
79,146.05357142857142
80,181.50969827586206
81,237.24107142857142
82,135.66702586206895
83,146.5060096153846
84,290.70394736842104
85,91.9911858974359
86,147.8726851851852
87,105.24431818181819
88,210.94588414634146
89,98.22601744186046
90,267.6703125
91,115.26182432432432
92,425.4140625
93,240.7797619047619
94,161.4304435483871
95,388.04619565217394
96,620.6536458333334
97,200.87171052631578
98,215.76704545454547
99,318.125
100,373.08413461538464
101,130.0203804347826
102,264.93638392857144
103,179.22585227272728
104,132.48958333333334
105,388.9201388888889
106,137.03571428571428
107,155.58165322580646
108,299.19308035714283
109,220.6640625
110,151.13392857142858
111,169.63210227272728
112,578.6029411764706
113,66.62367021276596
114,166.45516304347825
115,168.98275862068965
116,86.54645270270271
117,142.89772727272728
118,133.8642578125
119,182.35286458333334
120,106.5625
121,146.46507352941177
122,157.17708333333334
123,468.6701388888889
124,226.88616071428572
125,139.90364583333334
126,146.59375
127,179.78125
128,161.13975694444446
129,380.23125
130,162.86647727272728
131,255.18154761904762
132,169.51190476190476
133,162.08016304347825
134,142.4075
135,566.1420454545455
136,131.69618055555554
137,132.00480769230768
138,289.4296875
139,412.7057291666667
140,88.25822368421052
141,104.3658088235294
142,98.51736111111111
143,100.21354166666667
144,145.878125
145,129.375
146,145.35833333333332
