interval,hitsL3
0,84905.0
1,506800.0
2,1885860.0
3,1895980.0
4,1838210.0
5,2054050.0
6,2158180.0
7,1864150.0
8,1889340.0
9,1927960.0
10,5324420.0
11,7514230.0
12,9654900.0
13,7184190.0
14,8282930.0
15,7349780.0
16,7865580.0
17,7230170.0
18,7104640.0
19,7833680.0
20,8517040.0
21,2176580.0
22,2507090.0
23,2374110.0
24,2345150.0
25,2299620.0
26,2301080.0
27,2439110.0
28,2388820.0
29,2387780.0
30,2528490.0
31,1754640.0
32,30174.0
33,29676.0
34,29374.0
35,29154.0
36,32583.0
37,32234.0
38,11895.0
39,284479.0
40,1897900.0
41,1945650.0
42,1985370.0
43,1897890.0
44,1996370.0
45,2093960.0
46,2179760.0
47,1872310.0
48,4897680.0
49,7092500.0
50,7205380.0
51,7534070.0
52,7519580.0
53,9951540.0
54,7420330.0
55,7523340.0
56,7791650.0
57,7050780.0
58,6841650.0
59,2420020.0
60,2431520.0
61,2450780.0
62,2425730.0
63,2596580.0
64,2474380.0
65,2411340.0
66,2638870.0
67,2430650.0
68,2507260.0
69,1193530.0
70,356162.0
71,1370740.0
72,2124270.0
73,1862950.0
74,1935620.0
75,2678620.0
76,1866200.0
77,2113080.0
78,1903660.0
79,2030530.0
80,8081740.0
81,8057220.0
82,8354880.0
83,8764590.0
84,7310110.0
85,8609790.0
86,8315320.0
87,7253060.0
88,7262690.0
89,9721820.0
90,8117690.0
91,2364050.0
92,2767410.0
93,2407630.0
94,2429610.0
95,2352960.0
96,2545400.0
97,2288810.0
98,2384650.0
99,2750600.0
100,1146930.0
101,441701.0
102,2897020.0
103,2130190.0
104,2163550.0
105,1942500.0
