interval,IPC
0,1.7871099999999998
1,1.80692
2,1.74711
3,1.65894
4,1.67557
5,1.538
6,1.19405
7,1.3651200000000001
8,1.0871600000000001
9,1.15267
10,0.8683799999999999
11,1.26883
12,1.31036
13,1.36305
14,0.99159
15,0.958988
16,0.6656449999999999
17,0.6034970000000001
18,0.58932
19,0.544375
20,0.543179
21,0.543859
22,0.7228760000000001
23,0.728288
24,0.609931
25,0.727353
26,0.892401
27,1.10143
28,0.80634
29,1.05695
30,1.02905
31,1.36342
32,2.01567
33,2.13862
34,2.14118
35,2.05907
36,2.1025400000000003
37,2.0912900000000003
38,2.06311
39,1.98943
40,1.88897
41,1.8392
42,1.78489
43,1.66753
44,1.7309599999999998
45,1.62094
46,1.4599600000000001
47,1.44898
48,1.4257799999999998
49,1.44717
50,1.43324
51,1.45036
52,1.4417
53,1.28932
54,1.34553
55,1.5218399999999999
56,1.3972799999999999
57,1.44448
58,1.3832
59,1.3939700000000002
60,1.51362
61,1.41537
62,1.25871
63,1.28261
64,1.25169
65,1.1276700000000002
66,1.1433200000000001
67,1.2944200000000001
68,1.17177
69,1.0814
70,1.03155
71,1.14986
72,0.949759
73,1.11067
74,1.11005
75,1.17925
76,0.985017
77,0.911481
78,0.898316
79,0.9353520000000001
80,0.9854139999999999
81,0.922609
82,1.01852
83,0.992617
84,0.94314
85,0.9094049999999999
86,0.920427
87,0.943001
88,1.35332
89,1.7344099999999998
90,1.75957
91,1.7150900000000002
92,1.66088
93,1.61857
94,1.60057
95,1.50215
96,1.5351700000000001
97,1.45564
98,1.38541
99,1.17155
100,1.16335
101,1.12529
102,1.07312
103,1.13828
104,0.9506030000000001
105,1.14845
106,0.97205
107,0.943343
108,0.836075
109,0.8310290000000001
110,0.779365
111,0.794967
112,0.913098
113,0.985716
114,0.8930520000000001
115,0.897049
116,0.845298
117,0.812479
118,0.779141
119,0.8469979999999999
120,0.9228040000000001
121,0.958993
122,0.914582
123,0.8995209999999999
124,0.877375
125,0.860416
126,1.0140200000000001
127,1.02367
128,1.01409
129,1.02349
130,0.949475
131,0.9118459999999999
132,0.931256
133,1.0025600000000001
134,1.08332
135,1.0739299999999998
136,0.9757969999999999
137,1.01825
138,0.919968
139,0.989776
140,0.929633
141,0.903157
142,0.896282
143,0.913801
144,1.0312700000000001
145,1.02372
146,0.85854
147,0.850115
148,0.819187
149,0.7959069999999999
150,0.7086210000000001
151,0.728062
152,0.9173690000000001
153,0.83004
154,0.704117
155,0.7299800000000001
156,0.671018
157,0.701296
158,0.614352
159,0.618384
160,0.7355119999999999
161,0.6492899999999999
162,0.59273
163,0.613211
164,0.59816
165,0.620043
166,0.557944
167,0.6602439999999999
168,0.724601
169,0.574466
170,0.588828
171,0.583467
172,0.626484
173,0.632043
174,0.5798439999999999
175,0.705691
176,0.757346
177,0.641443
178,0.631968
179,0.596065
180,0.613458
181,0.5788810000000001
182,0.592486
183,0.742066
184,0.663431
185,0.5973310000000001
186,0.59663
187,0.6331869999999999
