interval,hitsL3
0,7726160.0
1,10530900.0
2,11988000.0
3,11851900.0
4,13432500.0
5,10793500.0
6,6209340.0
7,4577580.0
8,3600460.0
9,2286210.0
10,2123030.0
11,11835200.0
12,10078000.0
13,12381500.0
14,10326200.0
15,4644500.0
16,2813290.0
17,406559.0
18,448395.0
19,414822.0
20,396494.0
21,424075.0
22,759561.0
23,911898.0
24,448719.0
25,346640.0
26,326494.0
27,350907.0
28,400091.0
29,459112.0
30,626930.0
31,368096.0
32,306272.0
33,299123.0
34,297081.0
35,368814.0
36,329344.0
37,401088.0
38,340967.0
39,270753.0
40,297828.0
41,272530.0
42,990061.0
43,6691240.0
44,6874090.0
45,5758660.0
46,4610370.0
47,4140370.0
48,3182910.0
49,2925120.0
50,2240570.0
51,3462210.0
52,3839210.0
53,1604290.0
54,1552130.0
55,1292410.0
56,1112380.0
57,1052230.0
58,1042460.0
59,2203620.0
60,2109860.0
61,1161320.0
62,1071480.0
63,775969.0
64,772703.0
65,608400.0
66,2089580.0
67,1986550.0
68,589707.0
69,715213.0
70,654995.0
71,589660.0
72,517143.0
73,1150010.0
74,1963210.0
75,802389.0
76,680208.0
77,565917.0
78,627500.0
79,513122.0
80,605011.0
81,1079490.0
82,987921.0
83,540058.0
84,487107.0
85,470482.0
86,580299.0
87,558194.0
88,670599.0
89,954098.0
90,612685.0
91,465420.0
92,643390.0
93,551355.0
94,409415.0
95,477663.0
96,725487.0
97,636630.0
98,452180.0
99,320763.0
100,505790.0
101,390820.0
102,444643.0
103,635385.0
104,549892.0
105,519690.0
106,377023.0
107,433800.0
108,430724.0
109,350521.0
110,519905.0
111,580081.0
112,405101.0
113,535872.0
114,477065.0
115,475175.0
116,459968.0
117,375578.0
118,559483.0
119,668506.0
120,846391.0
121,681874.0
122,5890020.0
123,10315200.0
124,9112270.0
125,5951740.0
126,5423650.0
127,6210930.0
128,4834250.0
129,3740920.0
130,8415800.0
131,8492940.0
132,8700430.0
133,7295720.0
134,5290250.0
135,4052310.0
136,1151150.0
137,1317960.0
138,1042510.0
139,1087560.0
140,802637.0
141,3146570.0
142,3407520.0
143,1168800.0
144,773780.0
145,1007110.0
146,745187.0
147,744020.0
148,1701850.0
149,2077620.0
150,709011.0
151,814855.0
152,603620.0
153,647190.0
154,627067.0
155,1223580.0
156,1773170.0
157,652412.0
158,605704.0
159,327818.0
160,433853.0
161,354589.0
162,640743.0
163,975601.0
164,516186.0
165,464097.0
166,338327.0
167,422128.0
168,365647.0
169,614712.0
170,830739.0
171,503988.0
172,421181.0
173,335073.0
174,314385.0
175,375815.0
176,374851.0
177,855355.0
178,752293.0
179,365428.0
180,322696.0
181,303964.0
182,352591.0
183,287190.0
184,724862.0
185,798042.0
186,330869.0
187,325744.0
188,271109.0
189,387400.0
190,392092.0
191,557240.0
192,885802.0
193,328723.0
194,359506.0
195,430645.0
196,369038.0
197,212492.0
198,470698.0
199,737131.0
200,462825.0
201,250949.0
202,414236.0
203,293775.0
204,233057.0
205,409511.0
206,623734.0
207,620638.0
208,293741.0
209,322592.0
210,338290.0
211,323133.0
212,308159.0
213,597990.0
214,397330.0
215,210535.0
216,214487.0
217,258698.0
218,306485.0
219,162008.0
220,363730.0
221,529712.0
222,261471.0
223,192476.0
224,208524.0
225,186761.0
226,274921.0
227,382683.0
228,579433.0
229,248875.0
230,295497.0
231,175469.0
232,250180.0
233,229431.0
234,228415.0
235,399957.0
236,767067.0
237,812739.0
238,564621.0
239,490193.0
240,372803.0
241,547569.0
242,266612.0
243,191950.0
244,217294.0
245,171825.0
246,167402.0
247,297898.0
248,363699.0
249,600352.0
250,781519.0
251,555458.0
