interval,hitsperOccupL3(KB)
0,56.99991508152174
1,91.42833646616542
2,282.003168202765
3,106.41801075268818
4,106.05241031390135
5,201.81839139344262
6,101.50766509433963
7,241.70973557692307
8,194.78811553030303
9,130.67900485436894
10,164.47661042944785
11,122.99400906735751
12,88.47004716981132
13,94.63792670682732
14,91.71229243542436
15,78.52922734627832
16,207.11627906976744
17,159.20707831325302
18,151.2405695266272
19,222.04225
20,168.43689903846155
21,165.4390923566879
22,137.915625
23,111.09647925764192
24,132.8439054726368
25,152.14302147239263
26,254.4111689814815
27,270.7227393617021
28,320.173828125
29,162.0478896103896
30,390.5569556451613
31,205.19347826086957
32,230.640625
33,394.16493055555554
34,558.2241379310345
35,335.77920081967216
36,497.5040322580645
37,324.984375
38,376.75372023809524
39,439.04553571428573
40,591.0
41,848.6875
42,1426.28125
43,298.2659722222222
44,497.0010775862069
45,857.2204861111111
46,880.001953125
47,468.03125
48,349.12820512820514
49,3632.4375
50,490.0334051724138
51,386.9755067567568
52,601.4908854166666
53,1210.1927083333333
54,404.23571428571427
55,362.9755067567568
56,461.09583333333336
57,467.80625
58,545.8425480769231
59,314.9479166666667
60,427.6875
61,1602.03125
62,421.4943181818182
63,1739.26953125
64,632.4928977272727
65,803.2986111111111
66,249.33011363636365
67,378.28685897435895
68,721.2390625
69,748.6924342105264
70,393.13980263157896
71,561.3
72,742.5197368421053
73,749.59375
74,373.3309294871795
75,376.4231418918919
76,879.9908088235294
77,754.8194444444445
78,601.0377604166666
79,1005.9263392857143
80,313.9957386363636
81,1589.236111111111
82,430.65340909090907
83,409.7080357142857
84,383.56756756756755
85,1025.2700892857142
86,895.00390625
87,254.58431603773585
88,279.29272959183675
89,439.1875
90,319.53464673913044
91,722.6984375
92,383.2795138888889
93,390.23839285714286
94,296.14627659574467
95,391.12142857142857
96,344.4496951219512
97,535.6736111111111
98,276.01382211538464
99,494.52693965517244
100,1345.55625
101,480.10129310344826
102,355.07612179487177
103,658.9910714285714
104,413.1998106060606
105,286.46694711538464
106,443.57996323529414
107,543.22375
108,577.2330729166666
109,678.7901785714286
