interval,IPC
0,2.26073
1,2.26073
2,2.25444
3,2.23985
4,2.2481
5,2.23509
6,2.22627
7,2.24127
8,2.24779
9,2.23825
10,2.21924
11,2.24158
12,2.24705
13,2.25875
14,2.22224
15,2.24293
16,2.22079
17,2.19404
18,2.19936
19,2.18146
20,2.17214
21,2.14311
22,2.22206
23,2.18745
24,2.10555
25,2.09437
26,2.04933
27,2.0486299999999997
28,2.03134
29,2.0327599999999997
30,2.03519
31,1.92907
32,1.75721
33,1.48996
34,1.5907200000000001
35,1.45937
36,1.62952
37,1.71212
38,1.59765
39,1.6130000000000002
40,1.57713
41,1.50397
42,1.49337
43,1.4585700000000001
44,1.56781
45,1.54082
46,1.44659
47,1.47255
48,1.46692
49,1.45413
50,1.47569
51,1.51555
52,1.54952
53,1.47781
54,1.49433
55,1.51662
56,1.49757
57,1.4897799999999999
58,1.51437
59,1.53521
60,1.53302
61,1.5223799999999998
62,1.46828
63,1.5026899999999999
64,1.4996200000000002
65,1.46922
66,1.4610100000000001
67,1.57349
68,1.53525
69,1.4676
70,1.4744
71,1.47475
72,1.45526
73,1.49143
74,1.52508
75,1.5331700000000001
76,1.5202
77,1.49918
78,1.49032
79,1.51188
80,1.4747
81,1.4685700000000002
82,1.52457
83,1.54249
84,1.4384700000000001
85,1.47254
86,1.45553
87,1.48863
88,1.4850700000000001
89,1.53445
90,1.59752
91,1.53685
92,1.50857
93,1.48133
94,1.49755
95,1.48476
96,1.48953
97,1.56828
98,1.56498
99,1.51512
100,1.47716
101,1.50473
102,1.4746299999999999
103,1.46953
104,1.46096
105,1.57682
106,1.55752
107,1.45402
108,1.44526
109,1.47617
110,1.47648
111,1.4528
112,1.5469700000000002
113,1.5432
114,1.5187700000000002
115,1.48587
116,1.46811
117,1.50479
118,1.4793
119,1.46599
120,1.53609
121,1.7641
122,1.81742
123,1.64493
124,1.59485
125,1.56865
126,1.61114
127,1.4986899999999999
128,1.51309
129,1.47946
130,1.48453
131,1.47465
132,1.53187
133,1.5956
134,1.75016
135,1.8018599999999998
136,1.6672900000000002
137,1.5973700000000002
138,1.50072
139,1.49282
140,1.48823
