interval,hitsL3
0,790932.0
1,1191130.0
2,599589.0
3,658209.0
4,1326380.0
5,560597.0
6,573406.0
7,1390510.0
8,684495.0
9,1462540.0
10,1263680.0
11,766163.0
12,223844.0
13,1378250.0
14,812842.0
15,224021.0
16,1434200.0
17,766313.0
18,140015.0
19,1422550.0
20,924503.0
21,95416.0
22,2548730.0
23,3211270.0
24,1093760.0
25,1359330.0
26,1159520.0
27,3287180.0
28,2701700.0
29,1831980.0
30,730292.0
31,497147.0
32,619639.0
33,489446.0
34,856009.0
35,589407.0
36,877326.0
37,1015680.0
38,500866.0
39,895527.0
40,1190090.0
41,405070.0
42,674422.0
43,3253160.0
44,2542130.0
45,1415870.0
46,1125000.0
47,2193810.0
48,542610.0
49,842482.0
50,1151190.0
51,496203.0
52,568000.0
53,1175820.0
54,665229.0
55,540003.0
56,1053440.0
57,995640.0
58,358469.0
59,357219.0
60,1130260.0
61,837409.0
62,544094.0
63,658822.0
64,1495180.0
65,785916.0
66,641816.0
67,1065650.0
68,1204740.0
69,493588.0
70,515820.0
71,1183840.0
72,694203.0
73,185595.0
74,1324410.0
75,755656.0
76,179275.0
77,761639.0
78,1171390.0
79,565562.0
80,595219.0
81,1403750.0
82,512571.0
83,388021.0
84,943258.0
85,1069620.0
86,449336.0
87,319492.0
88,1115740.0
89,580081.0
90,383629.0
91,733148.0
92,1190580.0
93,278290.0
94,265419.0
95,1049970.0
96,2371440.0
97,2839020.0
98,385937.0
99,1041210.0
100,844789.0
101,361252.0
102,432031.0
103,526620.0
104,879595.0
105,498701.0
106,676148.0
107,1050160.0
108,480231.0
109,801855.0
110,2195610.0
111,1067650.0
112,569822.0
113,561667.0
114,1262920.0
115,685870.0
116,550330.0
117,1056740.0
118,981678.0
119,512338.0
120,1511210.0
121,3183940.0
122,1705590.0
123,1472070.0
124,2237200.0
125,1602900.0
126,2362390.0
127,484543.0
128,897535.0
129,3316470.0
130,2133580.0
131,568507.0
132,1905290.0
133,3004890.0
134,3034710.0
135,1082250.0
136,1058210.0
137,454110.0
