interval,hitsperOccupL3(KB)
0,1788.295673076923
1,852.1924342105264
2,944.1496710526316
3,1391.7135416666667
4,1084.7145833333334
5,1419.8664772727273
6,784.8385416666666
7,1715.8506944444443
8,1071.14375
9,917.2591911764706
10,1019.9520833333333
11,1618.359375
12,1335.0113636363637
13,1147.671875
14,1342.203125
15,1147.5286458333333
16,868.2996323529412
17,862.5104166666666
18,749.0828125
19,1309.478125
20,909.8208333333333
21,1097.2427884615386
22,925.0401785714286
23,1301.1640625
24,969.425
25,1537.638888888889
26,1298.59375
27,1412.134375
28,3622.796875
29,3231.9609375
30,1094.0721153846155
31,790.4595588235294
32,1217.890625
33,1431.0208333333333
34,1187.5807291666667
35,1008.6730769230769
36,1738.0972222222222
37,897.24375
38,1513.6180555555557
39,2172.8214285714284
40,1095.9110576923076
41,886.0
42,1344.5390625
43,1054.53125
44,2520.85
45,967.578125
46,1447.0875
47,837.02734375
48,3799.5234375
49,1510.3125
50,2113.5758928571427
51,907.4308035714286
52,1942.325892857143
53,1973.87890625
54,2204.9464285714284
55,1419.34375
56,2249.6651785714284
57,1878.73828125
58,1172.1947115384614
59,3854.140625
60,1134.6004464285713
61,1118.6205357142858
62,2263.15625
63,2638.9895833333335
64,1483.171875
65,1359.1119791666667
66,1453.8693181818182
67,1279.8567708333333
68,902.3272058823529
69,2502.3125
70,1380.4772727272727
71,1057.7433035714287
72,1600.9444444444443
73,1556.7
74,1155.4350961538462
75,1412.778409090909
76,1425.122159090909
77,1968.8359375
78,2519.4114583333335
79,1829.3984375
80,1942.03515625
81,1014.7104166666667
82,1826.3472222222222
83,1083.5416666666667
84,1052.44375
85,2187.2946428571427
86,1093.0535714285713
87,1769.6805555555557
88,1507.271875
89,1580.540625
90,1245.704326923077
91,3844.9375
92,1355.0069444444443
93,1590.834375
94,2688.5
95,1511.1420454545455
96,1298.0572916666667
97,8172.3125
98,973.560546875
99,959.5546875
100,1559.11875
101,2674.9114583333335
102,1447.815340909091
103,2281.2053571428573
104,1756.923611111111
105,1324.9453125
106,1914.05078125
107,3153.9875
108,1288.5911458333333
109,1826.2256944444443
110,2348.2098214285716
111,2240.754464285714
112,1054.7083333333333
113,1327.496875
114,1161.1380208333333
115,887.0041666666667
