interval,hitsperOccupL3(KB)
0,5.313377808988764
1,4.365361201298701
2,8.508439781021897
3,8.166198501872659
4,5.7987068965517246
5,13.295046542553191
6,17.048444976076556
7,21.053856382978722
8,17.233035714285716
9,17.55830223880597
10,22.980816831683168
11,8.648702330508474
12,6.036533273381295
13,6.1004901960784315
14,9.281625
15,9.404107862903226
16,17.34283536585366
17,31.336431962025316
18,24.2890625
19,33.74471393034826
20,35.51439790575916
21,34.13800837320574
22,26.225456621004565
23,10.94045608108108
24,23.01729368932039
25,28.093105670103093
26,28.503324468085108
27,29.508379888268156
28,34.151144801980195
29,38.14535984848485
30,24.422529069767442
31,15.07122461928934
32,36.177937158469945
33,24.74234375
34,29.829125615763548
35,33.11973684210526
36,32.47550251256281
37,24.917689732142858
38,13.473385167464114
39,21.572758838383837
40,34.14488636363637
41,26.49747023809524
42,36.60885989010989
43,38.249297752808985
44,36.94506048387097
45,24.036632775119617
46,10.684754184100418
47,31.150988520408163
48,35.75118885869565
49,31.260641891891893
50,34.414695945945944
51,34.69838483146067
52,29.96737334801762
53,11.281655844155845
54,20.89779974489796
55,33.224877450980394
56,41.46123633879781
57,36.968384502923975
58,33.25929054054054
59,40.779233870967744
60,32.63723466981132
61,14.37302036199095
62,19.962820512820514
63,23.84691629955947
64,25.34406725888325
65,18.716527777777777
66,20.42564655172414
67,25.21923324742268
68,24.842261904761905
69,10.030397727272728
70,18.14688818565401
71,18.58502252252252
72,20.436427696078432
73,20.479665071770334
74,20.39851485148515
75,15.78862660944206
76,8.385
77,18.78349358974359
78,19.68276066350711
79,21.95392441860465
80,24.583333333333332
81,25.56077261306533
82,26.37990837696335
83,13.859375
84,14.522758152173912
85,26.324282786885245
86,23.6875
87,24.63860887096774
88,23.3609375
89,24.85482804232804
90,27.98319575471698
91,11.555027173913043
92,27.628035714285716
93,34.32869170984456
94,25.36342005076142
95,21.675744047619048
96,23.25214460784314
97,24.717839805825243
98,12.128676470588236
99,14.671952736318408
100,24.963515228426395
101,33.759392076502735
102,25.6925
103,34.63733552631579
104,28.00964861751152
105,27.9264445754717
106,11.997109030837004
107,21.165548780487804
108,25.316826923076924
109,23.171875
110,26.76417525773196
111,24.917842741935484
