interval,hitsL3
0,7195.0
1,4095.0
2,4451.0
3,3644.0
4,4102.0
5,4638.0
6,3816.0
7,3978.0
8,3666.0
9,3844.0
10,4118.0
11,3831.0
12,3533.0
13,3952.0
14,4041.0
15,18860.0
16,3447.0
17,64286.0
18,1351480.0
19,959915.0
20,1089930.0
21,953031.0
22,958170.0
23,1220590.0
24,1141420.0
25,758004.0
26,747039.0
27,720570.0
28,903401.0
29,855257.0
30,888194.0
31,1125330.0
32,889964.0
33,729353.0
34,669192.0
35,749291.0
36,662309.0
37,790770.0
38,893894.0
39,1081610.0
40,753315.0
41,541201.0
42,582320.0
43,568144.0
44,637123.0
45,591552.0
46,641871.0
47,665383.0
48,400876.0
49,258362.0
50,347694.0
51,323773.0
52,609309.0
53,583865.0
54,603984.0
55,691033.0
56,649557.0
57,552563.0
58,524318.0
59,470829.0
60,554688.0
61,478862.0
62,464217.0
63,606714.0
64,137372.0
65,39319.0
66,41820.0
67,18094.0
68,11939.0
69,17113.0
70,1531800.0
71,7454770.0
72,7854180.0
73,7145100.0
74,3417730.0
75,3923060.0
76,5808660.0
77,5431810.0
78,4972440.0
79,6627190.0
80,14234800.0
81,20090300.0
82,18264500.0
83,18069300.0
84,21763200.0
85,22182000.0
86,22494500.0
87,22485400.0
88,23276900.0
89,23748500.0
90,23611500.0
91,10225900.0
92,73158.0
93,77272.0
94,2122640.0
95,1763580.0
96,1583240.0
97,1717180.0
98,1674400.0
99,1338310.0
100,1264920.0
101,1252530.0
102,1343780.0
103,1487600.0
104,1519760.0
105,1593120.0
106,1651190.0
107,1462680.0
108,1305630.0
109,1267290.0
110,1225210.0
111,1271510.0
112,1246070.0
113,1278670.0
114,1412270.0
115,1374440.0
116,1171470.0
117,1160180.0
118,1133770.0
119,1136830.0
120,1134270.0
121,1117090.0
122,1309060.0
123,1326600.0
124,1161990.0
125,1130070.0
126,1117360.0
127,1097250.0
128,1087430.0
129,1072630.0
130,1061190.0
131,1211930.0
132,1359410.0
133,80424.0
134,87473.0
135,68279.0
136,112503.0
137,75327.0
138,1919150.0
139,1779200.0
140,1641230.0
141,1438920.0
142,1360070.0
143,1285980.0
144,1235210.0
145,1401380.0
146,1432750.0
147,1579200.0
148,1568050.0
149,1409420.0
150,1438700.0
151,1328200.0
152,1165560.0
153,1167220.0
154,1149380.0
155,1158000.0
156,1196110.0
157,1137390.0
158,1307560.0
159,1365900.0
160,1171410.0
161,1156940.0
162,1130530.0
