interval,IPC
0,1.85217
1,1.8513099999999998
2,1.7808599999999999
3,1.63383
4,1.7109400000000001
5,1.43034
6,1.12671
7,1.14167
8,0.926132
9,0.898209
10,0.7131770000000001
11,1.4338
12,1.56881
13,1.49282
14,1.27014
15,1.01367
16,0.926293
17,0.56323
18,0.537027
19,0.519741
20,0.535922
21,0.5342600000000001
22,0.604043
23,0.6516489999999999
24,0.5438810000000001
25,0.517675
26,0.518224
27,0.5194270000000001
28,0.487087
29,0.529068
30,0.635756
31,0.543333
32,0.502504
33,0.524879
34,0.517275
35,0.523679
36,0.513951
37,1.37414
38,2.1108700000000002
39,2.07737
40,2.00698
41,1.9465400000000002
42,1.91052
43,1.87847
44,1.87713
45,1.91415
46,1.8619700000000001
47,1.8165799999999999
48,1.8707900000000002
49,1.70963
50,1.71993
51,1.74127
52,1.78269
53,1.8127400000000002
54,1.7039900000000001
55,1.68462
56,1.7909
57,1.86057
58,1.8613099999999998
59,1.84335
60,1.90525
61,1.77548
62,1.66293
63,1.58605
64,1.64025
65,1.50207
66,1.56176
67,1.54694
68,1.61773
69,1.3955799999999998
70,1.3800700000000001
71,1.37523
72,1.08839
73,1.0157100000000001
74,1.20478
75,1.20885
76,1.04966
77,1.03205
78,1.03521
79,1.01158
80,1.08204
81,1.15161
82,1.22928
83,1.1181299999999998
84,1.0158399999999999
85,1.0040799999999999
86,1.01924
87,0.972742
88,1.60218
89,1.74892
90,1.78447
91,1.7553400000000001
92,1.7233599999999998
93,1.71137
94,1.6844400000000002
95,1.6378700000000002
96,1.6615400000000002
97,1.6441
98,1.48682
99,1.4732399999999999
100,1.4421
101,1.4752100000000001
102,1.38296
103,1.13612
104,1.33945
105,1.1655
106,1.06587
107,1.0379399999999999
108,1.0342799999999999
109,1.07825
110,1.051
111,1.02672
112,0.984057
113,0.640699
114,0.9040360000000001
115,0.88895
116,0.861146
117,0.803242
118,0.8133640000000001
119,0.9066559999999999
120,1.04908
121,1.04045
122,0.94501
123,0.8554
124,0.885533
125,0.9227059999999999
126,0.732901
127,0.772809
128,0.9405879999999999
129,1.0091299999999999
130,0.8876290000000001
131,1.00696
132,1.05483
133,1.15323
134,1.09484
135,0.988187
136,0.977223
137,0.8880469999999999
138,0.913959
139,0.9060739999999999
140,0.9734229999999999
141,0.929436
142,0.952572
143,1.06697
144,1.00579
145,0.853825
146,0.654093
147,0.900752
148,0.85339
149,0.9058649999999999
150,0.945789
151,0.7930020000000001
152,0.7860149999999999
153,0.714429
154,0.7435430000000001
155,0.749496
156,0.700577
157,0.866624
158,0.757152
159,0.708829
160,0.674221
161,0.678026
162,0.6621600000000001
163,0.7202270000000001
164,0.795894
165,0.824448
166,0.677864
167,0.634368
168,0.661319
169,0.611063
170,0.630079
171,0.666283
172,0.7128899999999999
173,0.660989
174,0.553222
175,0.56742
176,0.600136
177,0.566547
178,0.5925239999999999
179,0.658325
